FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
242,4818840,18840,Excelsior ISD,210906,210906,102418,54184,82000,86,704134,463365,6224,454709,0,1628432,21148.47,43.20%,28.50%,0.40%,27.90%,0.00%,0,0,F,53,57%,84%,83%,92%
243,4823160,23160,High Island ISD,84903,84903,142000,56287,100000,132,1174496,952285,1779684,1922405,0,5828870,36659.56,20.10%,16.30%,30.50%,33.00%,0.00%,10577054,70047,B,82,40%,69%,89%,49%
244,4825290,25290,Kelton ISD,242905,242905,104188,56718,62521,129,1290780,606106,2937828,1005697,2101750,7942161,41717.22,16.30%,7.60%,37.00%,12.70%,26.50%,7189000,79000,B,85,50%,56%,53%,44%
245,4842810,42810,Tidehaven ISD,158902,158902,185231,64429,93250,1065,6957237,3795639,2544348,4850125,1428539,19575888,17635.91,35.50%,19.40%,13.00%,24.80%,7.30%,43400309,46567,B,89,23%,34%,43%,45%
246,4809630,9630,Bay City ISD,158901,158901,367497,83204,187326,3473,20090372,13054787,10645536,14382970,0,58173665,16554.83,34.50%,22.40%,18.30%,24.70%,0.00%,177568853,61231,C,76,58%,66%,53%,58%
247,4843950,43950,Van Vleck ISD,158906,158906,160154,70098,96679,1039,7904927,4458058,5790291,9527342,0,27680618,26337.41,28.60%,16.10%,20.90%,34.40%,0.00%,86718327,105625,B,80,46%,53%,44%,54%
248,4815750,15750,Crosby ISD,101906,101906,231767,73410,99903,7046,38811180,19665501,16081208,15376315,0,89934204,13094.67,43.20%,21.90%,17.90%,17.10%,0.00%,308279152,46937,C,78,53%,58%,55%,63%
249,4832400,32400,New Caney ISD,170908,170908,322765,68949,113682,19420,120669729,73004914,124957529,47849128,0,366481300,19301.7,32.90%,19.90%,34.10%,13.10%,0.00%,1611334927,84226,C,75,56%,68%,59%,68%
250,4842210,42210,Tarkington ISD,146907,146907,164383,60819,105466,1907,9754751,6289326,3125532,7437116,0,26606725,13800.17,36.70%,23.60%,11.70%,28.00%,0.00%,6727485,3717,C,73,56%,69%,50%,71%
251,4824300,24300,Ira ISD,208903,208903,115841,56898,80950,284,1688658,855635,742301,1951581,0,5238175,21036.85,32.20%,16.30%,14.20%,37.30%,0.00%,9802950,51057,B,86,26%,39%,50%,41%
252,4808400,8400,Anson ISD,127901,127901,108268,52465,83584,723,5297004,2863757,773485,3012803,0,11947049,16298.84,44.30%,24.00%,6.50%,25.20%,0.00%,3714200,6539,C,77,48%,68%,47%,51%
253,4830340,30340,Merkel ISD,221904,221904,138978,55091,91853,1090,7457175,4152005,1944229,4833642,0,18387051,16315.04,40.60%,22.60%,10.60%,26.30%,0.00%,9754834,9784,C,78,55%,63%,65%,59%
254,4822800,22800,Hawley ISD,127904,127904,140356,52901,74029,773,6596700,3612075,1010650,6047244,0,17266669,20703.44,38.20%,20.90%,5.90%,35.00%,0.00%,4378775,5687,C,74,51%,68%,51%,61%
255,4818720,18720,Eustace ISD,107905,107905,138000,65525,98833,1711,11444167,6102075,3021396,5613074,0,26180712,15301.41,43.70%,23.30%,11.50%,21.40%,0.00%,64665113,43399,B,86,37%,45%,44%,46%
256,4826250,26250,La Pryor ISD,254902,254902,126055,60695,107182,439,3480974,2844554,445211,2695722,0,9466461,21320.86,36.80%,30.00%,4.70%,28.50%,0.00%,2414738,7407,D,65,58%,66%,71%,86%
257,4816920,16920,Devers ISD,146903,146903,154692,84385,154692,191,1253241,784762,0,693956,0,2731959,14767.35,45.90%,28.70%,0.00%,25.40%,0.00%,0,0,A,95,10%,16%,32%,34%
258,4823880,23880,Hull-Daisetta ISD,146905,146905,145601,61377,82364,429,3183620,1972500,291291,2497774,0,7945185,19099,40.10%,24.80%,3.70%,31.40%,0.00%,378047,1093,F,59,66%,79%,62%,68%
259,4817460,17460,Douglass ISD,174911,174911,125006,53674,68160,424,2737509,1338386,7093549,1565056,0,12734500,29893.19,21.50%,10.50%,55.70%,12.30%,0.00%,13838721,38764,A,90,34%,48%,42%,43%
260,4839960,39960,Shelbyville ISD,210903,210903,151131,59922,95130,891,5425359,2952138,601737,3010509,0,11989743,13990.37,45.30%,24.60%,5.00%,25.10%,0.00%,158100,194,B,84,42%,52%,58%,55%
261,4826970,26970,Lazbuddie ISD,185904,185904,100786,58371,73545,127,1249219,579073,214604,833073,0,2875969,22294.33,43.40%,20.10%,7.50%,29.00%,0.00%,5219555,46603,C,74,49%,71%,52%,71%
262,4840650,40650,Snyder ISD,208902,208902,196267,55896,71856,2317,14615620,6898107,2544138,8094226,0,32152091,13419.07,45.50%,21.50%,7.90%,25.20%,0.00%,9278425,5002,D,66,63%,69%,58%,63%
263,4815180,15180,Lubbock-Cooper ISD,152906,152906,5788,54021,101672,8030,45911624,27496696,100856063,19528262,0,193792645,24671.25,23.70%,14.20%,52.00%,10.10%,0.00%,846069410,112569,B,88,34%,44%,47%,48%
264,4839870,39870,Shallowater ISD,152909,152909,188370,53965,94425,1731,10447646,7114391,36665876,7203075,0,61430988,35325.47,17.00%,11.60%,59.70%,11.70%,0.00%,128324613,89300,B,89,30%,37%,38%,46%
265,4832220,32220,Nazareth ISD,35903,35903,103000,55280,74500,243,1732416,888607,62715,1384105,0,4067843,16469,42.60%,21.80%,1.50%,34.00%,0.00%,115250,539,A,95,13%,27%,33%,27%
266,4811580,11580,Brooks County ISD,24901,24901,160000,57154,96731,1180,8198042,6041292,3042531,9803997,0,27085862,21773.2,30.30%,22.30%,11.20%,36.20%,0.00%,28726996,32314,D,66,60%,68%,70%,77%
267,4842060,42060,Taft ISD,205907,205907,190419,57913,90636,812,5497731,4180979,5122377,5182755,0,19983842,23904.12,27.50%,20.90%,25.60%,25.90%,0.00%,36672266,50305,D,68,68%,78%,73%,74%
268,4808580,8580,Aransas Pass ISD,205901,205901,155000,61188,86196,1624,9161942,6705464,3095886,7348454,0,26311746,15200.32,34.80%,25.50%,11.80%,27.90%,0.00%,18107528,12260,D,68,59%,77%,61%,70%
269,4821780,21780,Gregory-Portland ISD,205902,205902,265000,68919,114142,5024,34609215,22120065,110972341,21493310,0,189194931,38121.08,18.30%,11.70%,58.70%,11.40%,0.00%,425540294,95670,B,82,40%,50%,45%,51%
270,4840350,40350,Sinton ISD,205906,205906,183494,62413,93923,1961,13214454,7812940,51561771,8364190,0,80953355,40016.49,16.30%,9.70%,63.70%,10.30%,0.00%,196630272,112553,C,74,50%,61%,49%,65%
271,4819170,19170,Ferris ISD,70905,70905,253836,64084,100621,3010,20945875,13142324,3449080,8313354,0,45850633,15936.96,45.70%,28.70%,7.50%,18.10%,0.00%,29234613,9661,B,80,54%,73%,50%,60%
272,4827180,27180,Leon ISD,145911,145911,141500,64492,93941,758,5020523,3143723,4816682,3032175,18564,16031667,21322.37,31.30%,19.60%,30.00%,18.90%,0.10%,10710288,15938,B,87,49%,55%,55%,42%
273,4813410,13410,Centerville ISD (Leon),145902,145902,115000,60413,91150,676,4804507,3095747,7663191,3482095,0,19045540,28511.29,25.20%,16.30%,40.20%,18.30%,0.00%,57772310,111745,C,78,48%,71%,56%,64%
274,4834260,34260,Paradise ISD,249906,249906,170000,59178,92226,1331,7370269,3973301,4253533,4303788,0,19900891,15261.42,37.00%,20.00%,21.40%,21.60%,0.00%,118836870,97969,C,79,40%,49%,48%,53%
275,4811340,11340,Bridgeport ISD,249903,249903,185657,55797,91369,2133,11082587,7289481,2512654,6340278,0,27225000,12848.04,40.70%,26.80%,9.20%,23.30%,0.00%,8932453,4270,D,66,55%,69%,45%,61%
276,4829370,29370,Matagorda ISD,158904,158904,109500,61308,85500,109,1122817,549823,1483320,699862,0,3855822,34122.32,29.10%,14.30%,38.50%,18.20%,0.00%,4190431,28506,D,67,52%,68%,64%,36%
277,4821330,21330,Graford ISD,182902,182902,106090,57915,86076,339,2803286,1394295,750206,1524326,7092637,13564750,19612.46,20.70%,10.30%,5.50%,11.20%,52.30%,6712600,20465,A,92,44%,58%,67%,71%
278,4810200,10200,Big Spring ISD,114901,114901,208000,51322,93177,3376,20134514,13343478,6042874,12652373,17636,52190875,15118.3,38.60%,25.60%,11.60%,24.20%,0.00%,51492155,18195,C,79,56%,64%,68%,67%
279,4814490,14490,Coahoma ISD,114902,114902,191779,55981,78655,1084,7501028,4200535,8322420,4484804,0,24508787,22362.03,30.60%,17.10%,34.00%,18.30%,0.00%,20663125,21479,C,73,51%,63%,65%,62%
280,4814450,14450,Clyde Cons ISD,30902,30902,148000,51703,75949,1392,7922128,4412317,1574397,8321748,0,22230590,15788.77,35.60%,19.80%,7.10%,37.40%,0.00%,20622813,16932,B,84,41%,47%,37%,47%
281,4828530,28530,Lueders-Avoca ISD,127905,127905,72600,44859,76680,88,1163166,552507,90797,868250,0,2674720,25718.46,43.50%,20.70%,3.40%,32.50%,0.00%,675852,5981,C,75,64%,70%,76%,73%
282,4807440,7440,Abilene ISD,221901,221901,300000,58434,96833,14536,83088534,58345398,25390619,37258528,0,204083079,13928.68,40.70%,28.60%,12.40%,18.30%,0.00%,270410610,23804,C,75,55%,68%,55%,68%
283,4832160,32160,Navarro ISD,94903,94903,175000,61718,95499,2702,14935365,6850573,47239241,9591009,0,78616188,32246.18,19.00%,8.70%,60.10%,12.20%,0.00%,328546279,107053,B,81,43%,53%,51%,55%
284,4815690,15690,Crockett County Cons CSD,53001,53001,175031,54376,81634,621,5687847,3566343,30696407,4256842,8149484,52356923,67906.97,10.90%,6.80%,58.60%,8.10%,15.60%,74505524,157851,B,86,50%,56%,52%,60%
285,4838700,38700,San Angelo ISD,226903,226903,325703,54037,82941,13004,73411128,45706833,26792110,37380148,0,183290219,13906.69,40.10%,24.90%,14.60%,20.40%,0.00%,83272301,7796,C,73,57%,70%,60%,68%
286,4844410,44410,Wall ISD,226906,226906,135452,50116,75396,1313,9759118,4763317,3085686,5028443,0,22636564,16968.94,43.10%,21.00%,13.60%,22.20%,0.00%,20406850,15710,A,93,20%,27%,34%,37%
287,4800005,5,Blackwell Cons ISD,177903,177903,120000,63254,96115,186,1737360,1240304,5176728,1634258,2610423,12399073,57580.29,14.00%,10.00%,41.80%,13.20%,21.10%,6944075,28459,B,89,43%,52%,54%,40%
288,4837380,37380,Robert Lee ISD,41902,41902,159749,56127,77209,269,2032036,1281621,3386271,2242426,0,8942354,34001.35,22.70%,14.30%,37.90%,25.10%,0.00%,13161747,63892,B,83,50%,63%,59%,69%
289,4844710,44710,Water Valley ISD,226905,226905,151745,56086,84200,310,2623175,1321375,2816913,1524018,0,8285481,25973.29,31.70%,15.90%,34.00%,18.40%,0.00%,27659553,113825,B,80,35%,57%,44%,51%
290,4831890,31890,Muleshoe ISD,9901,9901,191945,49044,97564,1330,8488002,4520785,3275323,7304209,0,23588319,17856.41,36.00%,19.20%,13.90%,31.00%,0.00%,29660344,26041,B,81,55%,65%,61%,65%
291,4810470,10470,Blooming Grove ISD,175902,175902,135000,58697,85349,935,5774486,3373319,10798437,2507076,0,22453318,23486.73,25.70%,15.00%,48.10%,11.20%,0.00%,328800,363,C,78,53%,62%,54%,54%
292,4836960,36960,Rice ISD,175911,175911,157429,64360,82459,1105,6676100,3737892,1825636,4390600,0,16630228,15527.76,40.10%,22.50%,11.00%,26.40%,0.00%,31885232,28242,B,88,46%,52%,50%,42%
293,4820370,20370,Garner ISD,184911,184911,118732,56760,85836,357,3098567,1234705,1490913,1579066,0,7403251,20282.88,41.90%,16.70%,20.10%,21.30%,0.00%,314225,623,C,75,52%,68%,59%,67%
294,4830950,30950,Mineral Wells ISD,182903,182903,215000,65613,101391,3303,20943899,10435136,4773229,13437048,0,49589312,14932.04,42.20%,21.00%,9.60%,27.10%,0.00%,52797996,18088,B,83,59%,62%,59%,65%
295,4835340,35340,Poolville ISD,184901,184901,135000,55382,88687,797,5011966,2843580,1761974,2335617,0,11953137,15958.79,41.90%,23.80%,14.70%,19.50%,0.00%,978540,1315,D,68,53%,65%,54%,58%
296,4809280,9280,Baird ISD,30903,30903,121540,52860,88037,348,2541233,1759237,12045126,1907506,307207,18560309,50986.32,13.70%,9.50%,64.90%,10.30%,1.70%,31955258,96834,D,68,49%,59%,66%,74%
297,4831230,31230,Monte Alto ISD,108915,108915,140000,55536,86821,819,5185692,3639784,2831481,4430287,0,16087244,19618.59,32.20%,22.60%,17.60%,27.50%,0.00%,12033863,20571,D,67,56%,78%,53%,74%
298,4839930,39930,Sharyland ISD,108911,108911,230000,60155,94032,9844,55640583,37276358,17354176,28025614,0,138296731,14195.93,40.20%,27.00%,12.50%,20.30%,0.00%,98140068,11157,A,91,35%,43%,49%,51%
299,4843800,43800,Valley View ISD (Hidalgo),108916,108916,185000,61017,93537,3444,23928852,16188773,4380621,16868327,0,61366573,17458.48,39.00%,26.40%,7.10%,27.50%,0.00%,37463694,14437,A,90,42%,49%,55%,53%
300,4844960,44960,Weslaco ISD,108913,108913,363669,67857,108756,16300,105575173,69847509,11434933,39857306,0,226714921,13798.84,46.60%,30.80%,5.00%,17.60%,0.00%,360673082,24840,B,85,52%,57%,53%,63%
301,4840770,40770,Somerville ISD,26902,26902,126000,57542,116423,567,3941079,2435764,1250650,2189012,0,9816505,18314.38,40.10%,24.80%,12.70%,22.30%,0.00%,13699283,30647,D,69,69%,85%,66%,79%
302,4837470,37470,Roby Cons ISD,76903,76903,120000,57651,82922,297,2629369,1230502,1201034,2861981,0,7922886,25807.45,33.20%,15.50%,15.20%,36.10%,0.00%,10472000,43273,B,87,52%,58%,54%,39%
303,4816380,16380,Dawson ISD (Navarro),175904,175904,149446,58292,95371,628,4301918,2440824,1562315,2639952,0,10945009,18838.23,39.30%,22.30%,14.30%,24.10%,0.00%,35705471,315978,B,87,49%,59%,59%,56%
304,4838900,38900,San Felipe-Del Rio Cons ISD,233901,233901,233036,58984,103454,9767,56937877,47556265,10648264,36892656,0,152035062,15346.23,37.50%,31.30%,7.00%,24.30%,0.00%,61443688,7648,C,79,54%,66%,57%,67%
305,4833360,33360,Odem-Edroy ISD,205905,205905,168000,61466,74523,927,5788125,4416841,4190736,4748888,0,19144590,20968.88,30.20%,23.10%,21.90%,24.80%,0.00%,66073063,75772,B,82,48%,68%,44%,63%
306,4827450,27450,Liberty ISD,146906,146906,189250,65546,97790,2438,12796437,9279530,8519196,9134445,0,39729608,16390.1,32.20%,23.40%,21.40%,23.00%,0.00%,45475222,19261,C,70,59%,71%,57%,62%
307,4818060,18060,Edcouch-Elsa ISD,108903,108903,235000,59531,96071,4349,25763357,20632354,4721860,19582894,0,70700465,16075.59,36.40%,29.20%,6.70%,27.70%,0.00%,24313981,6302,C,71,67%,81%,69%,81%
308,4826340,26340,La Villa ISD,108914,108914,146000,58485,89999,512,4601383,3820610,982451,3999154,0,13403598,24913.75,34.30%,28.50%,7.30%,29.80%,0.00%,10242000,26812,B,80,62%,75%,65%,82%
309,4829670,29670,McAllen ISD,108906,108906,300000,61361,101043,19890,137925891,90268703,45278010,62990546,0,336463150,16743.63,41.00%,26.80%,13.50%,18.70%,0.00%,84211555,4952,A,90,38%,49%,46%,57%
310,4830250,30250,Mercedes ISD,108907,108907,97989,57879,90321,4207,30016317,22658323,5924355,16543771,0,75142766,17105.11,39.90%,30.20%,7.90%,22.00%,0.00%,44475729,13324,C,74,69%,77%,65%,73%
311,4838360,38360,Rusk ISD,37907,37907,178413,65355,101427,2057,13654284,8122103,944995,7805230,0,30526612,14840.36,44.70%,26.60%,3.10%,25.60%,0.00%,4940538,2673,B,83,43%,61%,44%,60%
312,4844940,44940,Wells ISD,37909,37909,97500,52161,71490,239,1863846,1133998,209697,1453472,0,4661013,19260.38,40.00%,24.30%,4.50%,31.20%,0.00%,2660500,16124,C,79,46%,77%,71%,76%
313,4833960,33960,Paint Creek ISD,104907,104907,136895,57086,87500,111,1176298,723416,3231154,1080657,0,6211525,59726.2,18.90%,11.60%,52.00%,17.40%,0.00%,7706460,79448,B,89,35%,36%,50%,62%
314,4838280,38280,Rule ISD,104903,104903,100000,53515,80000,138,1232933,758935,49013,1023077,0,3063958,23568.91,40.20%,24.80%,1.60%,33.40%,0.00%,0,0,B,84,43%,64%,75%,86%
315,4841400,41400,Stamford ISD,127906,127906,145990,50899,97684,586,4786257,3961429,763620,3562916,0,13074222,22425.77,36.60%,30.30%,5.80%,27.30%,0.00%,8636060,18105,B,83,40%,55%,47%,49%
316,4822740,22740,Haskell Cons ISD,104901,104901,137800,56250,81513,544,4372361,2360245,4099508,2592400,0,13424514,25139.54,32.60%,17.60%,30.50%,19.30%,0.00%,42021579,92559,B,86,37%,55%,45%,56%
317,4809390,9390,Bangs ISD,25901,25901,143384,46815,84260,793,5272146,3134169,1466270,2921489,0,12794074,15659.82,41.20%,24.50%,11.50%,22.80%,0.00%,5804956,8972,C,79,41%,62%,50%,51%
318,4824480,24480,Itasca ISD,109907,109907,130000,53558,91888,638,4199047,2273688,2702186,3284068,0,12458989,18992.36,33.70%,18.20%,21.70%,26.40%,0.00%,10947613,16842,D,69,62%,79%,59%,70%
319,4830810,30810,Miller Grove ISD,112907,112907,104000,53603,78628,310,2218626,941487,376488,1585254,0,5121855,15857.14,43.30%,18.40%,7.40%,31.00%,0.00%,3923343,12948,B,87,44%,71%,64%,69%
320,4817610,17610,Dumas ISD,171901,171901,217559,53014,104504,4381,24666559,13404755,28356511,10064040,0,76491865,17784.67,32.20%,17.50%,37.10%,13.20%,0.00%,135862559,33251,B,81,48%,58%,52%,61%
321,4821600,21600,Grape Creek ISD,226907,226907,146067,49821,93094,1196,6525455,3916258,1176790,4458751,0,16077254,13408.89,40.60%,24.40%,7.30%,27.70%,0.00%,13415269,11737,C,77,52%,67%,55%,62%
322,4825800,25800,Knippa ISD,232901,232901,145000,53942,94091,408,2578552,1554616,1040218,2031086,0,7204472,18101.69,35.80%,21.60%,14.40%,28.20%,0.00%,3136600,9534,B,88,28%,34%,43%,72%
323,4827000,27000,Leakey ISD,193902,193902,116643,53676,84800,343,2494851,1613730,481735,1213704,62230,5866250,15771.79,42.50%,27.50%,8.20%,20.70%,1.10%,4648350,13712,C,74,52%,68%,64%,55%
324,4838430,38430,Sabinal ISD,232902,232902,125000,54019,96656,462,3482398,3163459,5339848,2573972,0,14559677,31243.94,23.90%,21.70%,36.70%,17.70%,0.00%,9006713,17287,D,69,56%,66%,67%,72%
325,4819020,19020,Falls City ISD,128904,128904,110056,59146,?,442,3178811,1638269,2905092,2607008,2792504,13121684,23690.78,24.20%,12.50%,22.10%,19.90%,21.30%,19027100,43145,A,94,17%,15%,36%,32%
326,4837500,37500,Rochelle ISD,160904,160904,100000,52402,85489,160,1354900,918609,8070,757704,0,3039283,18877.53,44.60%,30.20%,0.30%,24.90%,0.00%,0,0,A,96,33%,31%,36%,38%
327,4827930,27930,Lohn ISD,160905,160905,100000,57856,90270,123,1161977,869047,91440,1269565,0,3392029,31119.53,34.30%,25.60%,2.70%,37.40%,0.00%,684968,10703,B,83,52%,80%,81%,76%
328,4809410,9410,Banquete ISD,178913,178913,171252,55476,98316,744,6124079,3650988,2895852,4261402,0,16932321,20624.02,36.20%,21.60%,17.10%,25.20%,0.00%,78927677,123517,B,80,45%,66%,60%,66%
329,4816320,16320,Darrouzett ISD,148905,148905,90500,48636,18895,86,1097061,689924,411817,1267613,0,3466415,33330.91,31.60%,19.90%,11.90%,36.60%,0.00%,965000,12697,C,75,78%,88%,47%,80%
330,4815480,15480,Covington ISD,109903,109903,143305,64555,116312,353,3965996,3039098,831853,2048309,0,9885256,29596.57,40.10%,30.70%,8.40%,20.70%,0.00%,17862302,54625,D,67,55%,72%,68%,81%
331,4823280,23280,Hillsboro ISD,109904,109904,179500,59543,105930,1984,13615350,6630528,6546132,8645346,0,35437356,18370.84,38.40%,18.70%,18.50%,24.40%,0.00%,45316464,26547,A,91,39%,43%,43%,54%
332,4831500,31500,Motley County ISD,173901,173901,104832,48916,89252,179,1417807,1126205,329574,1252530,0,4126116,25788.23,34.40%,27.30%,8.00%,30.40%,0.00%,0,0,B,87,46%,49%,83%,48%
333,4814920,14920,Comstock ISD,233903,233903,65000,54294,85997,176,1417906,846597,136334,846098,1058017,4304952,16234.68,32.90%,19.70%,3.20%,19.70%,24.60%,0,0,B,81,39%,54%,48%,53%
334,4800003,3,Rocksprings ISD,69901,69901,129000,52036,92829,200,1742523,1363007,1109012,1718018,1277291,7209851,28116.4,24.20%,18.90%,15.40%,23.80%,17.70%,15675750,113592,C,77,59%,75%,56%,66%
335,4839750,39750,Seminole ISD,83903,83903,249308,62010,116618,3089,23393759,12279950,17747995,13475544,4382093,71279341,22403.63,32.80%,17.20%,24.90%,18.90%,6.10%,35457541,13305,B,82,51%,50%,54%,50%
336,4814760,14760,Comanche ISD,47901,47901,139403,53973,79958,1378,9097989,4346066,4089598,5293946,0,22827599,16735.78,39.90%,19.00%,17.90%,23.20%,0.00%,55776591,45644,B,83,43%,54%,35%,52%
337,4829520,29520,May ISD,25905,25905,102141,53093,74767,243,1754702,1079313,314568,1283145,0,4431728,16660.63,39.60%,24.40%,7.10%,29.00%,0.00%,740723,3011,C,73,50%,48%,46%,66%
338,4823010,23010,Hereford ISD,59901,59901,149529,54812,83052,3964,21744484,13831899,6736828,14804920,0,57118131,14460.29,38.10%,24.20%,11.80%,25.90%,0.00%,18461113,5362,D,69,60%,65%,67%,72%
339,4843980,43980,Vega ISD,180902,180902,120000,50238,73833,340,2665392,1286147,1608300,1900368,0,7460207,21254.15,35.70%,17.20%,21.60%,25.50%,0.00%,16070740,58227,A,94,17%,29%,36%,43%
340,4834500,34500,Peaster ISD,184908,184908,185000,58627,94973,1776,10760091,6801190,6446678,6350287,0,30358246,17794.99,35.40%,22.40%,21.20%,20.90%,0.00%,61375306,42563,B,87,44%,53%,43%,53%
341,4811460,11460,Brock ISD,184909,184909,179837,57354,100066,2169,12595042,6145825,16309064,5651989,0,40701920,18696.33,30.90%,15.10%,40.10%,13.90%,0.00%,198704706,88787,A,90,24%,38%,35%,41%
342,4822500,22500,Harleton ISD,102905,102905,149130,58040,81570,705,4631795,2690371,436577,3464752,0,11223495,15523.51,41.30%,24.00%,3.90%,30.90%,0.00%,303420,420,B,88,27%,49%,34%,42%
343,4844670,44670,Waskom ISD,102903,102903,118609,48716,90436,806,5694588,3854444,1290589,3603156,0,14442777,17677.82,39.40%,26.70%,8.90%,24.90%,0.00%,16062575,24191,C,75,55%,67%,67%,63%
344,4830360,30360,Irion County ISD,118902,118902,128750,53700,93000,334,3271094,1793430,5265871,1795719,11940503,24066617,35982.53,13.60%,7.50%,21.90%,7.50%,49.60%,0,0,B,84,30%,41%,43%,48%
345,4840170,40170,Sidney ISD,47905,47905,90000,49553,97500,106,957720,489888,105030,1491895,0,3044533,20029.82,31.50%,16.10%,3.40%,49.00%,0.00%,1056138,5501,B,86,44%,59%,48%,45%
346,4841910,41910,Sunray Collegiate ISD,171902,171902,111228,50430,78056,593,3639925,2376386,5872610,1797586,0,13686507,21519.67,26.60%,17.40%,42.90%,13.10%,0.00%,18097424,37314,B,84,41%,61%,52%,66%
347,4840800,40800,Sonora ISD,218901,218901,120600,51889,81303,643,4629774,2544112,412511,3835740,0,11422137,17465.04,40.50%,22.30%,3.60%,33.60%,0.00%,0,0,C,77,50%,66%,62%,61%
348,4843320,43320,Tulia ISD,219903,219903,143883,56932,98616,801,7533957,5841821,6204920,6067556,0,25648254,29013.86,29.40%,22.80%,24.20%,23.70%,0.00%,15505600,21566,D,65,74%,83%,61%,72%
349,4846410,46410,Woodson ISD,224902,224902,106025,65539,75907,178,1443848,740736,317533,1424751,0,3926868,22311.75,36.80%,18.90%,8.10%,36.30%,0.00%,0,0,B,89,42%,77%,53%,58%
350,4825950,25950,Kress ISD,219905,219905,117500,57085,143429,262,1942013,1090681,469140,1703119,0,5204953,19715.73,37.30%,21.00%,9.00%,32.70%,0.00%,2030700,10918,B,82,54%,72%,51%,55%
351,4825140,25140,Karnes City ISD,128901,128901,160000,62230,97940,1021,10252554,7008028,25908478,8151958,35699660,87020678,49777.9,11.80%,8.10%,29.80%,9.40%,41.00%,37060697,37817,C,75,61%,78%,52%,71%
352,4822530,22530,Harlingen Cons ISD,31903,31903,174662,59650,100167,16471,113727647,76686078,29082363,59280587,0,278776675,16613.63,40.80%,27.50%,10.40%,21.30%,0.00%,127216530,9045,B,86,45%,61%,50%,63%
353,4828290,28290,Los Fresnos Cons ISD,31906,31906,325372,63293,93177,10357,68276557,42738999,30915924,31505408,0,173436888,16445.75,39.40%,24.60%,17.80%,18.20%,0.00%,112355090,12313,B,88,39%,48%,48%,53%
354,4838790,38790,San Benito Cons ISD,31912,31912,185000,60989,91313,9073,63023339,41695106,10574761,30937481,0,146230687,16023.52,43.10%,28.50%,7.20%,21.20%,0.00%,109326757,15061,C,77,60%,70%,66%,71%
355,4820070,20070,Fruitvale ISD,234909,234909,149172,54453,82148,385,3244583,2305317,951256,2260582,0,8761738,21849.72,37.00%,26.30%,10.90%,25.80%,0.00%,2042475,5920,C,77,54%,58%,62%,50%
356,4832970,32970,North Hopkins ISD,112906,112906,124000,57938,83650,495,3751313,1918265,367172,3007319,0,9044069,17909.05,41.50%,21.20%,4.10%,33.30%,0.00%,4588863,11031,B,85,41%,47%,53%,55%
357,4812420,12420,Calallen ISD,178903,178903,180800,60677,87804,3745,24397944,15012529,12659408,15353602,0,67423483,17390.63,36.20%,22.30%,18.80%,22.80%,0.00%,209698886,66592,B,87,39%,47%,46%,42%
358,4815270,15270,Corpus Christi ISD,178904,178904,375039,58188,96297,33103,193735173,125853977,161651067,130604610,0,611844827,18511.02,31.70%,20.60%,26.40%,21.30%,0.00%,1460064683,53610,B,81,49%,65%,57%,67%
359,4822260,22260,Hamlin Collegiate ISD,127903,127903,130875,47787,86921,402,2669063,1826370,425490,3294549,0,8215472,20590.16,32.50%,22.20%,5.20%,40.10%,0.00%,0,0,C,78,61%,71%,69%,64%
360,4823040,23040,Hermleigh ISD,208901,208901,121727,56014,91000,258,1804208,965632,792943,1951134,913521,6427438,21207.37,28.10%,15.00%,12.30%,30.40%,14.20%,2688261,10379,C,78,57%,66%,68%,69%
361,4837860,37860,Roscoe Collegiate ISD,177901,177901,158209,57611,81672,12256,4630049,2426170,1073150,92266757,0,100396126,11916.45,4.60%,2.40%,1.10%,91.90%,0.00%,2402743,169,F,56,73%,90%,58%,89%
362,4838040,38040,Rotan ISD,76904,76904,115001,56136,96000,273,1823811,1290619,1243252,1699876,110462,6168020,22352.61,29.60%,20.90%,20.20%,27.60%,1.80%,15825900,48103,C,76,50%,64%,56%,67%
363,4842030,42030,Sweetwater ISD,177902,177902,178471,54355,84787,1806,11678738,8108725,15031010,8462189,0,43280662,23394.95,27.00%,18.70%,34.70%,19.60%,0.00%,74276525,57803,D,62,61%,70%,66%,69%
364,4825560,25560,Kermit ISD,248901,248901,168000,60640,91574,1339,7296898,5790735,12261064,5607567,56774,31013038,23067.26,23.50%,18.70%,39.50%,18.10%,0.20%,129228130,116004,C,70,66%,71%,63%,60%
365,4821990,21990,Gustine ISD,47903,47903,150068,52623,89610,136,1412830,743207,331669,1467385,0,3955091,30659.62,35.70%,18.80%,8.40%,37.10%,0.00%,1559161,15437,B,89,53%,68%,78%,64%
