FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
27,4841970,41970,Sweeny ISD,20906,20906,173156,65485,97180,1919,13179636,9039671,5834831,9844411,83086,37981635,19606.08,34.70%,23.80%,15.40%,25.90%,0.20%,113443117,62400,C,76,56%,64%,51%,57%
28,4815360,15360,Cotton Center ISD,95902,95902,104000,46948,73088,100,1066468,663475,4,1117184,0,2847131,27115.53,37.50%,23.30%,0.00%,39.20%,0.00%,0,0,A,91,49%,58%,79%,87%
29,4822050,22050,Hale Center ISD,95903,95903,130000,50444,86780,561,3671400,2310073,1877248,3246089,0,11104810,18950.19,33.10%,20.80%,16.90%,29.20%,0.00%,7159838,15332,B,83,62%,67%,72%,75%
30,4810860,10860,Borden County ISD,17901,17901,147996,74236,106229,249,2585586,2335079,8561551,2616108,3615481,19713805,66522,13.10%,11.80%,43.40%,13.30%,18.30%,7067313,26974,A,96,32%,34%,52%,34%
31,4839000,39000,San Perlita ISD,245904,245904,112000,103738,96000,187,2044710,1457010,1454097,1869300,0,6825117,32193.95,30.00%,21.30%,21.30%,27.40%,0.00%,19993352,118304,C,70,54%,60%,55%,63%
32,4828980,28980,Marathon ISD,22902,22902,110000,54840,110000,58,864892,436371,0,622420,0,1923683,32604.8,45.00%,22.70%,0.00%,32.40%,0.00%,0,0,C,79,50%,55%,37%,50%
33,4838610,38610,Saltillo ISD,112909,112909,116905,57900,75705,250,2355065,1220540,263794,1955423,0,5794822,22904.43,40.60%,21.10%,4.60%,33.70%,0.00%,0,0,B,88,24%,34%,39%,42%
34,4846200,46200,Winnsboro ISD,250907,250907,181440,53812,89755,1454,9426715,6024224,3032910,6009312,0,24493161,16515.95,38.50%,24.60%,12.40%,24.50%,0.00%,42956128,34924,B,80,49%,66%,48%,55%
35,4811820,11820,Bryson ISD,119901,119901,131040,60861,88400,267,1594427,997053,1124051,1652672,0,5368203,21387.26,29.70%,18.60%,20.90%,30.80%,0.00%,12299350,54908,B,88,44%,61%,37%,51%
36,4811490,11490,Bronte ISD,41901,41901,105500,51065,83700,232,1831460,1119925,105493,1545585,0,4602463,20546.71,39.80%,24.30%,2.30%,33.60%,0.00%,0,0,A,90,39%,51%,27%,54%
37,4819950,19950,Friendswood ISD,84911,84911,228360,66352,104322,6194,33623935,20375124,38294146,18302001,0,110595206,17809.21,30.40%,18.40%,34.60%,16.50%,0.00%,247232075,42472,A,92,20%,27%,32%,32%
38,4811550,11550,Brookesmith ISD,25908,25908,115499,55911,85000,227,1805086,1817346,415474,2525587,0,6563493,37939.27,27.50%,27.70%,6.30%,38.50%,0.00%,91710,483,F,58,59%,75%,62%,62%
39,4833660,33660,Olton ISD,140905,140905,143000,51181,85449,612,3901614,2301395,0,3163965,0,9366974,15132.43,41.70%,24.60%,0.00%,33.80%,0.00%,0,0,C,72,48%,69%,64%,67%
40,4814790,14790,Comfort ISD,130902,130902,140000,58677,92740,1072,6828172,3477816,4088744,4681795,0,19076527,17501.4,35.80%,18.20%,21.40%,24.50%,0.00%,56112588,60078,C,78,57%,77%,64%,60%
41,4824210,24210,Ingram ISD,133904,133904,194511,60583,98338,1351,8663583,4875152,10452236,5140203,0,29131174,22408.6,29.70%,16.70%,35.90%,17.60%,0.00%,52510214,35697,A,91,35%,38%,40%,43%
42,4844890,44890,Wellington ISD,44902,44902,131416,52435,76980,534,3838474,2062212,250189,2146257,0,8297132,15252.08,46.30%,24.90%,3.00%,25.90%,0.00%,157713,317,B,86,34%,43%,46%,53%
43,4818070,18070,Eden Cons ISD,48901,48901,127500,59815,94500,222,1672000,1205043,2105989,1275987,0,6259019,28321.35,26.70%,19.30%,33.60%,20.40%,0.00%,20402450,92319,D,69,62%,78%,55%,66%
44,4833980,33980,Paint Rock ISD,48903,48903,106000,53121,85880,299,3026135,2292420,599543,1613018,0,7531116,32602.23,40.20%,30.40%,8.00%,21.40%,0.00%,1604744,5440,B,81,57%,74%,62%,79%
45,4825200,25200,Kaufman ISD,129903,129903,238500,62550,95290,4356,26114528,11990398,7965800,16031368,0,62102094,14185.04,42.10%,19.30%,12.80%,25.80%,0.00%,286803545,71881,B,84,49%,54%,51%,60%
46,4828680,28680,Mabank ISD,129905,129905,285000,60993,98794,4118,22614357,12150974,5432411,14629329,0,54827071,13484.28,41.20%,22.20%,9.90%,26.70%,0.00%,44298050,10946,B,85,49%,57%,49%,59%
47,4817190,17190,Divide ISD,133905,133905,1,61080,74277,35,236241,147036,2940,384777,0,770994,22028.4,30.60%,19.10%,0.40%,49.90%,0.00%,0,0,B,83,36%,45%,.,101%
48,4823970,23970,Hunt ISD,133902,133902,127339,68418,91203,196,1904570,869813,1442533,881925,1722116,6820957,25494.21,27.90%,12.80%,21.10%,12.90%,25.20%,5095500,32663,A,94,17%,25%,42%,29%
49,4840290,40290,Silverton ISD,23902,23902,100041,51678,81047,204,1435086,726833,758853,1227416,0,4148188,18601.74,34.60%,17.50%,18.30%,29.60%,0.00%,5693575,28047,A,95,39%,45%,41%,37%
50,4816350,16350,Dawson ISD (Dawson),58902,58902,123600,49627,90640,140,1025460,731991,2,1291747,0,3049200,23100,33.60%,24.00%,0.00%,42.40%,0.00%,0,0,B,82,59%,89%,52%,69%
51,4832490,32490,New Home ISD,153905,153905,150000,52213,90270,708,3369212,1712973,5854115,2856382,0,13792682,20555.41,24.40%,12.40%,42.40%,20.70%,0.00%,32334931,41830,A,92,25%,34%,33%,53%
52,4845990,45990,Wilson ISD,153907,153907,114449,51678,89295,133,1233774,945010,3077804,1240189,0,6496777,47421.73,19.00%,14.50%,47.40%,19.10%,0.00%,7366185,51512,D,69,71%,91%,50%,84%
53,4833390,33390,O'Donnell ISD,153903,153903,105000,52360,93117,253,2456304,1747579,931229,1967104,0,7102216,26207.44,34.60%,24.60%,13.10%,27.70%,0.00%,12493591,62157,A,90,45%,62%,45%,69%
54,4826850,26850,Lasara ISD,245901,245901,135800,56544,95000,343,3266641,1671244,396794,2634709,0,7969388,22385.92,41.00%,21.00%,5.00%,33.10%,0.00%,5027175,18083,D,66,60%,81%,53%,75%
55,4812480,12480,Calhoun County ISD,29901,29901,198450,60494,97021,3514,23058200,14225959,11064625,12719345,0,61068129,17285.06,37.80%,23.30%,18.10%,20.80%,0.00%,27370500,8604,B,81,47%,57%,62%,58%
56,4833840,33840,Ore City ISD,230903,230903,120000,53696,86625,788,6162367,3840671,1311583,3356183,0,14670804,18179.43,42.00%,26.20%,8.90%,22.90%,0.00%,9336898,13169,C,78,47%,69%,61%,55%
57,4837830,37830,Ropes ISD,110905,110905,135000,50275,99524,622,3667769,2230748,866230,2388307,0,9153054,15890.72,40.10%,24.40%,9.50%,26.10%,0.00%,11573022,20520,B,86,35%,51%,45%,56%
58,4839600,39600,Seagraves ISD,83901,83901,137945,55005,105259,525,3975646,2650536,975774,2694206,0,10296162,20109.69,38.60%,25.70%,9.50%,26.20%,0.00%,5811675,12498,C,79,70%,73%,66%,69%
59,4842090,42090,Tahoka ISD,153904,153904,130215,54764,84333,612,4672571,2650924,1622572,2864683,0,11810750,20398.53,39.60%,22.40%,13.70%,24.30%,0.00%,14258398,28574,B,80,53%,55%,57%,53%
60,4841550,41550,Sterling City ISD,216901,216901,165500,56806,87400,355,2573087,1850869,4763390,1990639,2206437,13384422,31049.96,19.20%,13.80%,35.60%,14.90%,16.50%,4120275,11509,A,92,35%,47%,48%,44%
61,4824450,24450,Italy ISD,70907,70907,126097,64213,80971,597,5048773,3458399,1166919,3539064,0,13213155,21040.06,38.20%,26.20%,8.80%,26.80%,0.00%,16976994,32838,B,80,49%,61%,58%,74%
62,4830780,30780,Milford ISD,70909,70909,124613,65928,81502,258,1746775,1049476,173595,1305372,0,4275218,16380.15,40.90%,24.50%,4.10%,30.50%,0.00%,0,0,C,77,74%,91%,81%,79%
63,4828500,28500,Lubbock ISD,152901,152901,292850,53527,98056,24133,165753827,78865020,38020972,95576091,0,378215910,15545.89,43.80%,20.90%,10.10%,25.30%,0.00%,437405129,23120,B,80,49%,60%,51%,61%
64,4807410,7410,Abernathy ISD,95901,95901,145190,52147,82759,808,5638370,3082672,2577006,3896562,0,15194610,18712.57,37.10%,20.30%,17.00%,25.60%,0.00%,18477147,24768,B,85,40%,46%,45%,47%
65,4840590,40590,Smyer ISD,110906,110906,144127,51291,88889,431,3021510,1475455,21083,2626914,0,7144962,16463.05,42.30%,20.70%,0.30%,36.80%,0.00%,0,0,A,92,40%,51%,38%,57%
66,4841850,41850,Sundown ISD,110907,110907,159200,58896,107114,552,4705635,2345468,1755616,2666652,3113624,14586995,20822.81,32.30%,16.10%,12.00%,18.30%,21.30%,5971650,13359,A,90,27%,26%,31%,54%
67,4845690,45690,Whitharral ISD,110908,110908,99000,56807,85000,229,1392232,678771,295921,1188722,0,3555646,16693.17,39.20%,19.10%,8.30%,33.40%,0.00%,1442400,9072,A,96,26%,50%,54%,32%
