18905,WALNUT SPRINGS ISD,174,171,178,177
18906,IREDELL ISD,135,142,135,141
18907,KOPPERL ISD,177,186,179,232
18908,CRANFILLS GAP ISD,128,126,132,138
19901,DEKALB ISD,901,828,783,831
19902,HOOKS ISD,890,920,886,942
19903,MAUD ISD,456,476,474,488
19905,NEW BOSTON ISD,1142,1154,1198,1340
19906,REDWATER ISD,1109,1059,1103,1106
19907,TEXARKANA ISD,7276,7180,7156,7152
19908,LIBERTY-EYLAU ISD,1985,2003,2131,2506
19909,SIMMS ISD,505,484,473,501
19910,MALTA ISD,212,220,208,187
19911,RED LICK ISD,519,527,501,511
19912,PLEASANT GROVE ISD,2274,2310,2321,2128
19913,HUBBARD ISD,67,77,69,93
19914,LEARY ISD,120,93,105,103
20901,ALVIN ISD,29740,29188,28085,24852
20902,ANGLETON ISD,7068,6925,6782,6867
20904,DANBURY ISD,661,737,774,763
20905,BRAZOSPORT ISD,11357,11618,11478,12350
20906,SWEENY ISD,1933,1898,1853,1962
20907,COLUMBIA-BRAZORIA ISD,2954,2927,2919,3135
20908,PEARLAND ISD,21111,21237,21007,21628
20910,DAMON ISD,102,94,116,209
21803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,292,308,330,394
21805,ARROW ACADEMY,594,675,609,621
21901,COLLEGE STATION ISD,14366,14464,14187,13570
21902,BRYAN ISD,15897,16036,16035,16189
22004,TERLINGUA CSD,132,122,111,115
22901,ALPINE ISD,918,954,974,1094
22902,MARATHON ISD,59,59,57,63
22903,SAN VICENTE ISD,0,0,0,0
23902,SILVERTON ISD,223,213,187,207
24901,BROOKS COUNTY ISD,1244,1285,1342,1589
25901,BANGS ISD,817,862,871,959
25902,BROWNWOOD ISD,3441,3443,3457,3692
25904,BLANKET ISD,140,142,147,187
25905,MAY ISD,266,254,229,298
25906,ZEPHYR ISD,217,227,212,217
25908,BROOKESMITH ISD,173,188,191,124
25909,EARLY ISD,1109,1155,1143,1189
26901,CALDWELL ISD,1965,1932,1840,1804
26902,SOMERVILLE ISD,536,533,544,500
26903,SNOOK ISD,606,589,530,501
27903,BURNET CISD,3285,3304,3277,3201
27904,MARBLE FALLS ISD,4048,4063,4014,4232
28902,LOCKHART ISD,6604,6443,6128,5925
28903,LULING ISD,1426,1416,1440,1432
28906,PRAIRIE LEA ISD,265,229,235,199
29901,CALHOUN COUNTY ISD,3533,3530,3576,3907
30901,CROSS PLAINS ISD,364,377,379,368
30902,CLYDE CISD,1408,1440,1435,1434
30903,BAIRD ISD,358,312,293,305
30906,EULA ISD,473,474,464,414
31901,BROWNSVILLE ISD,37065,37898,38448,45578
31903,HARLINGEN CISD,16780,17034,17037,18429
31905,LA FERIA ISD,2882,2926,2911,3412
31906,LOS FRESNOS CISD,10546,10565,10355,10789
31909,POINT ISABEL ISD,1857,1930,1976,2427
31911,RIO HONDO ISD,1494,1622,1603,1951
31912,SAN BENITO CISD,9126,9354,9211,10468
31913,SANTA MARIA ISD,540,567,544,685
31914,SANTA ROSA ISD,931,915,849,1106
31916,SOUTH TEXAS ISD,4531,4382,4251,4245
32902,PITTSBURG ISD,2285,2360,2358,2344
33901,GROOM ISD,135,150,143,158
33902,PANHANDLE ISD,625,657,664,725
33904,WHITE DEER ISD,314,334,339,369
34901,ATLANTA ISD,1926,1879,1911,1688
