NAME,DISTRICT_N,DISTRICT_GRADE,DISTRICT_SCORE
High Island ISD,84903,B,82
Kelton ISD,242905,B,85
Tidehaven ISD,158902,B,89
Bay City ISD,158901,C,76
Van Vleck ISD,158906,B,80
Crosby ISD,101906,C,78
New Caney ISD,170908,C,75
Tarkington ISD,146907,C,73
Ira ISD,208903,B,86
Anson ISD,127901,C,77
Merkel ISD,221904,C,78
Hawley ISD,127904,C,74
Eustace ISD,107905,B,86
La Pryor ISD,254902,D,65
Devers ISD,146903,A,95
Hull-Daisetta ISD,146905,F,59
Douglass ISD,174911,A,90
Shelbyville ISD,210903,B,84
Lazbuddie ISD,185904,C,74
Snyder ISD,208902,D,66
Lubbock-Cooper ISD,152906,B,88
Shallowater ISD,152909,B,89
Nazareth ISD,35903,A,95
Brooks County ISD,24901,D,66
Taft ISD,205907,D,68
Aransas Pass ISD,205901,D,68
Gregory-Portland ISD,205902,B,82
Sinton ISD,205906,C,74
Ferris ISD,70905,B,80
Leon ISD,145911,B,87
Centerville ISD (Leon),145902,C,78
Paradise ISD,249906,C,79
Bridgeport ISD,249903,D,66
Matagorda ISD,158904,D,67
Graford ISD,182902,A,92
Big Spring ISD,114901,C,79
Coahoma ISD,114902,C,73
Clyde Cons ISD,30902,B,84
Lueders-Avoca ISD,127905,C,75
Abilene ISD,221901,C,75
Navarro ISD,94903,B,81
Crockett County Cons CSD,53001,B,86
San Angelo ISD,226903,C,73
Wall ISD,226906,A,93
Blackwell Cons ISD,177903,B,89
Robert Lee ISD,41902,B,83
Water Valley ISD,226905,B,80
Muleshoe ISD,9901,B,81
Blooming Grove ISD,175902,C,78
Rice ISD,175911,B,88
Garner ISD,184911,C,75
Mineral Wells ISD,182903,B,83
Poolville ISD,184901,D,68
Baird ISD,30903,D,68
Monte Alto ISD,108915,D,67
Sharyland ISD,108911,A,91
Valley View ISD (Hidalgo),108916,A,90
Weslaco ISD,108913,B,85
Somerville ISD,26902,D,69
Roby Cons ISD,76903,B,87
Dawson ISD (Navarro),175904,B,87
San Felipe-Del Rio Cons ISD,233901,C,79
Odem-Edroy ISD,205905,B,82
Liberty ISD,146906,C,70
Edcouch-Elsa ISD,108903,C,71
La Villa ISD,108914,B,80
McAllen ISD,108906,A,90
Mercedes ISD,108907,C,74
Rusk ISD,37907,B,83
Wells ISD,37909,C,79
Paint Creek ISD,104907,B,89
Rule ISD,104903,B,84
Stamford ISD,127906,B,83
Haskell Cons ISD,104901,B,86
Bangs ISD,25901,C,79
Itasca ISD,109907,D,69
Miller Grove ISD,112907,B,87
Dumas ISD,171901,B,81
Grape Creek ISD,226907,C,77
Knippa ISD,232901,B,88
Leakey ISD,193902,C,74
Sabinal ISD,232902,D,69
Falls City ISD,128904,A,94
Rochelle ISD,160904,A,96
Lohn ISD,160905,B,83
Banquete ISD,178913,B,80
Darrouzett ISD,148905,C,75
Covington ISD,109903,D,67
Hillsboro ISD,109904,A,91
Motley County ISD,173901,B,87
Comstock ISD,233903,B,81
Rocksprings ISD,69901,C,77
Seminole ISD,83903,B,82
Comanche ISD,47901,B,83
May ISD,25905,C,73
Hereford ISD,59901,D,69
Vega ISD,180902,A,94
Peaster ISD,184908,B,87
Brock ISD,184909,A,90
Harleton ISD,102905,B,88
Waskom ISD,102903,C,75
Irion County ISD,118902,B,84
Sidney ISD,47905,B,86
Sunray Collegiate ISD,171902,B,84
Sonora ISD,218901,C,77
Tulia ISD,219903,D,65
Woodson ISD,224902,B,89
Kress ISD,219905,B,82
Karnes City ISD,128901,C,75
Harlingen Cons ISD,31903,B,86
Los Fresnos Cons ISD,31906,B,88
San Benito Cons ISD,31912,C,77
Fruitvale ISD,234909,C,77
North Hopkins ISD,112906,B,85
Calallen ISD,178903,B,87
Corpus Christi ISD,178904,B,81
Hamlin Collegiate ISD,127903,C,78
Hermleigh ISD,208901,C,78
Roscoe Collegiate ISD,177901,F,56
Rotan ISD,76904,C,76
Sweetwater ISD,177902,D,62
Kermit ISD,248901,C,70
Gustine ISD,47903,B,89
Longview ISD,92903,B,88
Era ISD,49906,A,91
Lindsay ISD,49907,A,90
Saint Jo ISD,169911,B,80
Lancaster ISD,57913,C,75
Mesquite ISD,57914,B,80
Boles ISD,116916,B,83
Greenville ISD,116905,D,65
Eula ISD,30906,B,87
Wylie ISD (Taylor),221912,B,89
Blum ISD,109913,B,87
Deer Park ISD,101908,B,82
Plainview ISD,95905,C,75
Mount Vernon ISD,80901,B,88
Sulphur Bluff ISD,112910,B,89
Culberson County-Allamoore ISD,55901,B,87
Giddings ISD,144901,B,84
Winters ISD,200904,C,77
Spring Hill ISD,92907,B,88
Pine Tree ISD,92904,B,86
Fredericksburg ISD,86901,B,82
Donna ISD,108902,C,77
Hidalgo ISD,108905,B,81
Lyford Cons ISD,245902,D,69
Pharr-San Juan-Alamo ISD,108909,B,87
Clarksville ISD,194904,D,61
Forney ISD,129902,C,79
Scurry-Rosser ISD,129910,B,83
Crandall ISD,129901,D,69
Wills Point ISD,234907,C,74
Hempstead ISD,237902,D,69
Santa Anna ISD,42903,C,72
Coleman ISD,42901,C,76
Harper ISD,86902,B,84
Kerrville ISD,133903,B,80
Center Point ISD,133901,C,76
Pecos-Barstow-Toyah ISD,195901,D,67
Forsan ISD,114904,B,83
DeSoto ISD,57906,C,71
Dilley ISD,82902,D,68
Charlotte ISD,7901,D,69
Pearsall ISD,82903,D,62
La Feria ISD,31905,B,83
Rio Hondo ISD,31911,C,71
Santa Rosa ISD,31914,B,80
Point Isabel ISD,31909,B,83
Highland Park ISD (Dallas),57911,A,96
Duncanville ISD,57907,C,72
Miles ISD,200902,A,94
Christoval ISD,226901,A,91
Trinity ISD,228903,D,68
New Waverly ISD,236901,B,84
Willis ISD,170904,C,77
Burton ISD,239903,A,90
Graham ISD,252901,B,80
Veribest ISD,226908,B,84
Clarendon ISD,65901,B,82
Hedley ISD,65902,B,88
McLean ISD,90903,B,81
Ricardo ISD,137902,B,89
Santa Gertrudis ISD,137904,A,92
Kingsville ISD,137901,F,59
Mason ISD,157901,A,92
Central Heights ISD,174908,A,93
Bloomington ISD,235901,F,54
Victoria ISD,235902,C,74
Grandview ISD,126904,B,86
Keene ISD,126906,B,87
Rio Vista ISD,126907,C,76
Union Hill ISD,230904,C,73
Sudan ISD,140908,B,86
Newton ISD,176902,C,75
Burkeville ISD,176901,F,57
Schleicher ISD,207901,B,81
Loop ISD,83902,B,86
Wellman-Union Cons ISD,223904,A,90
Perrin-Whitt Cons ISD,119903,A,91
Meadow ISD,223902,B,88
Colorado ISD,168901,C,76
Panther Creek Cons ISD,42905,C,75
Ballinger ISD,200901,C,77
Jim Ned Cons ISD,221911,B,88
Crystal City ISD,254901,D,69
Austwell-Tivoli ISD,196901,B,83
Hemphill ISD,202903,B,84
Wharton ISD,241904,D,64
El Campo ISD,241903,B,83
Trent ISD,221905,C,71
Mullin ISD,167902,F,55
Zephyr ISD,25906,B,81
Shamrock ISD,242902,B,80
Springlake-Earth ISD,140907,A,92
Anton ISD,110901,B,81
Cleveland ISD,146901,F,59
Montgomery ISD,170903,B,87
Mission Cons ISD,108908,B,83
Progreso ISD,108910,C,77
Claude ISD,6902,A,94
Frenship ISD,152907,B,80
Cushing ISD,174902,B,80
Laneville ISD,201903,D,62
Industrial ISD,120905,B,89
Edna ISD,120901,B,82
Junction ISD,134901,C,70
Menard ISD,164901,B,84
Raymondville ISD,245903,A,91
Bushland ISD,188904,A,90
Huntsville ISD,236902,D,68
Wink-Loving ISD,248902,B,87
Cross Plains ISD,30901,B,83
Sunnyvale ISD,57919,A,93
McCamey ISD,231901,F,58
Kenedy County-Wide CSD,131001,B,87
Aspermont ISD,217901,A,90
Klondike ISD,58905,A,92
Lamesa ISD,58906,C,71
Sands Cons ISD,58909,B,89
Groom ISD,33901,C,75
Weimar ISD,45905,B,89
Crockett ISD,113901,D,67
Grapeland ISD,113902,C,71
Kennard ISD,113906,B,84
Lovelady ISD,113903,B,85
Brownsville ISD,31901,B,87
Santa Maria ISD,31913,C,78
Goose Creek Consolidated ISD,101911,C,78
La Porte ISD,101916,B,82
East Chambers ISD,36903,B,84
Madisonville Cons ISD,154901,A,90
Cisco ISD,67902,B,85
Ranger ISD,67907,D,65
De Leon ISD,47902,A,93
Childress ISD,38901,B,80
Paducah ISD,51901,B,83
Gruver ISD,98901,A,95
Columbus ISD,45902,B,81
Muenster ISD,49902,A,91
Slidell ISD,249908,C,79
Sivells Bend ISD,49909,A,94
Timpson ISD,210905,B,83
Apple Springs ISD,228905,D,69
Plains ISD,251902,C,75
Terrell County ISD,222901,B,89
Garrison ISD,174903,B,86
Perryton ISD,179901,B,84
Fannindel ISD,60914,D,64
Mount Enterprise ISD,201907,B,82
Henderson ISD,201902,C,76
Dime Box ISD,144903,D,67
Palo Pinto ISD,182906,A,93
Brady ISD,160901,C,78
Brenham ISD,239901,C,72
Bellville ISD,8901,C,76
Lone Oak ISD,116906,B,86
Campbell ISD,116910,C,77
Cooper ISD,60902,B,83
Blanco ISD,16902,B,80
Marfa ISD,189901,D,61
Presidio ISD,189902,D,64
Como-Pickton Cons ISD,112908,B,84
Amarillo ISD,188901,B,83
Kilgore ISD,92902,C,74
Oakwood ISD,145907,C,72
Elkhart ISD,1903,B,85
LaPoynor ISD,107910,C,79
Neches ISD,1906,A,90
Cayuga ISD,1902,B,88
Slocum ISD,1909,B,82
Westwood ISD,1908,D,65
Palestine ISD,1907,C,75
Pettus ISD,13903,B,83
Goliad ISD,88902,C,79
Kenedy ISD,128902,C,77
Pawnee ISD,13902,B,82
Beeville ISD,13901,C,75
Runge ISD,128903,D,64
Goldthwaite Cons ISD,167901,B,87
Lometa ISD,141902,B,82
Hubbard ISD (Bowie),19913,C,75
Holland ISD,14905,A,90
Anderson-Shiro Cons ISD,93901,B,86
Navasota ISD,93904,C,73
Columbia-Brazoria ISD,20907,C,74
Damon ISD,20910,C,78
Needville ISD,79906,A,90
Royal ISD,237905,D,65
Sealy ISD,8902,C,75
East Bernard ISD,241902,B,86
Boling ISD,241901,C,78
Brazos ISD,8903,B,84
North Lamar ISD,139911,C,76
Honey Grove ISD,74907,B,89
Paris ISD,139909,C,79
Detroit ISD,194905,D,69
Prairiland ISD,139912,B,83
Chisum ISD,139905,B,81
Malta ISD,19910,B,84
Hooks ISD,19902,B,84
Leary ISD,19914,D,61
Texarkana ISD,19907,D,69
Red Lick ISD,19911,A,91
Liberty-Eylau ISD,19908,D,63
Pleasant Grove ISD,19912,B,88
Clear Creek ISD,84910,B,86
Barbers Hill ISD,36902,A,93
Anahuac ISD,36901,C,72
Santa Fe ISD,84909,B,81
Texas City ISD,84906,C,73
Hitchcock ISD,84908,C,74
Galveston ISD,84902,C,76
Dickinson ISD,84901,B,86
Dalhart ISD,56901,C,72
Hartley ISD,103902,A,95
Stratford ISD,211902,B,83
Texline ISD,56902,A,90
Channing ISD,103901,A,90
Knox City-O'Brien Cons ISD,138902,A,95
Guthrie CSD,135001,A,94
Seymour ISD,12901,B,87
Crowell ISD,78901,A,91
Harrold ISD,244901,A,90
Munday Cons ISD,138903,A,91
Vernon ISD,244903,C,77
Olney ISD,252903,B,87
Benjamin ISD,138904,B,84
Throckmorton Collegiate ISD,224901,B,87
Midland ISD,165901,C,72
Andrews ISD,2901,C,78
Reagan County ISD,192901,C,73
Rankin ISD,231902,A,92
Stanton ISD,156902,B,81
Glasscock County ISD,87901,A,93
Ector County ISD,68901,D,69
Greenwood ISD,165902,C,78
Tomball ISD,101921,A,92
Klein ISD,101915,B,86
Waller ISD,237904,C,76
Cypress-Fairbanks ISD,101907,B,85
Conroe ISD,170902,B,85
Magnolia ISD,170906,B,86
Buckholts ISD,166907,C,72
Milano ISD,166903,A,91
Kerens ISD,175907,B,81
Kemp ISD,129904,D,68
Corsicana ISD,175903,D,69
Cross Roads ISD,107904,B,85
Malakoff ISD,107906,B,89
Trinidad ISD,107907,C,73
Fairfield ISD,81902,C,77
Mildred ISD,175910,B,83
Yantis ISD,250905,C,79
Rains ISD,190903,C,78
Quitman ISD,250904,B,84
Kopperl ISD,18907,D,66
Walnut Springs ISD,18905,F,59
Electra ISD,243902,C,77
Holliday ISD,5902,A,91
Iowa Park Cons ISD,243903,A,91
City View ISD,243906,B,82
Rockdale ISD,166904,C,73
Bartlett ISD,14902,C,74
Bluff Dale ISD,72904,C,79
Tolar ISD,111903,B,85
Iredell ISD,18906,A,95
Stephenville ISD,72903,B,87
Hico ISD,97903,C,79
Three Way ISD,72901,C,77
Glen Rose ISD,213901,B,86
Copperas Cove ISD,50910,B,82
Salado ISD,14908,B,82
Temple ISD,14909,C,77
Academy ISD,14901,B,82
Snook ISD,26903,B,84
North Zulch ISD,154903,A,95
Iola ISD,93903,B,87
Normangee ISD,145906,B,82
College Station ISD,21901,B,83
Bremond ISD,198901,B,82
Westphalia ISD,73904,A,90
Rogers ISD,14907,C,77
Johnson City ISD,16901,B,85
San Saba ISD,206901,C,72
Llano ISD,150901,B,82
Killeen ISD,14906,C,74
Lampasas ISD,141901,B,84
Martins Mill ISD,234905,C,70
Canton ISD,234902,B,88
Grand Saline ISD,234904,C,76
Alba-Golden ISD,250906,B,88
Mineola ISD,250903,B,87
New Summerfield ISD,37908,A,94
Carlisle ISD,201913,B,89
West Rusk County Cons ISD,201914,C,78
Mount Pleasant ISD,225902,B,88
Avery ISD,194902,A,91
DeKalb ISD,19901,B,83
Daingerfield-Lone Star ISD,172902,C,77
Bloomburg ISD,34909,B,87
Simms ISD,19909,B,86
Maud ISD,19903,A,94
New Boston ISD,19905,B,85
Queen City ISD,34907,B,82
Redwater ISD,19906,B,83
Linden-Kildare Cons ISD,34905,C,72
Jefferson ISD,155901,D,66
Avinger ISD,34902,B,87
Hughes Springs ISD,34903,B,83
McLeod ISD,34906,B,81
Pewitt Cons ISD,172905,B,87
Atlanta ISD,34901,B,84
Whitesboro ISD,91909,C,74
Denison ISD,91903,C,78
Pottsboro ISD,91913,B,88
Bonham ISD,74903,C,73
Ector ISD,74905,D,68
Savoy ISD,74911,C,78
Bells ISD,91901,B,89
Bastrop ISD,11901,C,71
Del Valle ISD,227910,D,68
Hays Cons ISD,105906,B,80
Dripping Springs ISD,105904,B,89
Carrizo Springs Cons ISD,64903,D,69
Webb Cons ISD,240904,D,66
Benavides ISD,66901,B,82
McMullen County ISD,162904,A,96
Eagle Pass ISD,159901,B,81
Cotulla ISD,142901,C,78
Freer ISD,66903,C,75
Laredo ISD,240901,B,88
United ISD,240903,A,90
Lake Dallas ISD,61912,C,79
Krum ISD,61905,C,76
Sanger ISD,61908,B,82
Callisburg ISD,49905,C,75
Valley View ISD (Cooke),49903,C,70
Frankston ISD,1904,B,87
Jacksonville ISD,37904,C,73
Nocona ISD,169902,C,79
Prairie Valley ISD,169909,B,86
Burkburnett ISD,243901,B,80
Troup ISD,212904,C,78
Brownsboro ISD,107902,B,80
Bullard ISD,212902,B,88
Van ISD,234906,C,79
Hawkins ISD,250902,C,78
Lindale ISD,212903,A,92
Union Grove ISD,230908,B,89
Harmony ISD,230905,B,86
Gilmer ISD,230902,B,89
Big Sandy ISD (Upshur),230901,C,72
White Oak ISD,92908,A,91
Chapel Hill ISD (Smith),212909,B,82
Sabine ISD,92906,C,74
Overton ISD,201908,C,74
Arp ISD,212901,C,77
Whitehouse ISD,212906,A,90
Winona ISD,212910,C,79
Tyler ISD,212905,B,81
Gladewater ISD,92901,C,74
Wichita Falls ISD,243905,D,68
Archer City ISD,5901,A,94
Petrolia Cons ISD,39903,B,80
Sherman ISD,91906,C,73
Tom Bean ISD,91918,C,76
Crosbyton Cons ISD,54901,C,79
Post ISD,85902,D,64
Lorenzo ISD,54902,B,82
Ralls ISD,54903,D,65
Petersburg ISD,95904,B,86
Slaton ISD,152903,C,72
Floydada Collegiate ISD,77901,B,85
Southland ISD,85903,D,66
Idalou ISD,152910,A,92
Roosevelt ISD,152908,B,81
Gold-Burg ISD,169906,C,72
Forestburg ISD,169910,C,73
Montague ISD,169908,B,83
Alvord ISD,249901,B,85
Chico ISD,249904,C,75
Midway ISD (Clay),39905,B,89
Bellevue ISD,39904,B,87
Windthorst ISD,5904,A,92
Bowie ISD,169901,C,79
Jacksboro ISD,119902,B,82
Henrietta ISD,39902,C,79
Leonard ISD,74909,B,85
Whitewright ISD,91910,B,81
Trenton ISD,74912,C,78
Celeste ISD,116902,B,83
Bandera ISD,10902,C,73
Medina Valley ISD,163908,B,80
Lytle ISD,7904,C,72
Vysehrad ISD,143904,B,85
Sweet Home ISD,143905,B,86
Hallettsville ISD,143901,B,83
Cuero ISD,62901,C,79
Yoakum ISD,62903,C,78
Nixon-Smiley Cons ISD,89903,B,81
Shiner ISD,143903,A,93
Luling ISD,28903,C,79
Waelder ISD,89905,B,80
Flatonia ISD,75901,A,95
Smithville ISD,11904,C,75
Gonzales ISD,89901,C,76
Moulton ISD,143902,B,85
Lockhart ISD,28902,D,69
Rosebud-Lott ISD,73905,B,86
Abbott ISD,109901,B,83
Penelope ISD,109914,A,92
Gholson ISD,161925,B,87
Groesbeck ISD,147902,D,69
Oglesby ISD,50904,B,83
Belton ISD,14903,B,80
Troy ISD,14910,B,82
Axtell ISD,161918,B,85
Mount Calm ISD,109910,C,78
Coolidge ISD,147901,B,89
West ISD,161916,A,91
Mart ISD,161908,B,86
Hallsburg ISD,161924,D,69
Bosqueville ISD,161923,B,80
Connally ISD,161921,D,63
La Vega ISD,161906,D,69
Bruceville-Eddy ISD,161919,C,72
Riesel ISD,161912,A,90
Marlin ISD,73903,C,73
Chilton ISD,73901,B,86
Bland ISD,116915,B,89
Thorndale ISD,166905,B,81
Lexington ISD,144902,B,82
Thrall ISD,246912,A,92
Pflugerville ISD,227904,C,79
Manor ISD,227907,D,60
Elgin ISD,11902,D,66
Coupland ISD,246914,B,88
Howe ISD,91905,B,80
Tioga ISD,91907,B,87
Collinsville ISD,91902,B,82
S and S Cons ISD,91914,C,78
Canadian ISD,106901,B,89
Follett ISD,148902,C,72
Booker ISD,148901,B,84
Fort Elliott Cons ISD,242906,B,84
West Sabine ISD,202905,C,73
San Augustine ISD,203901,C,73
Brookeland ISD,121902,B,87
Woden ISD,174906,B,87
Broaddus ISD,203902,A,96
Lufkin ISD,3903,B,80
Huntington ISD,3904,B,81
Chireno ISD,174901,B,84
Martinsville ISD,174909,B,81
Nacogdoches ISD,174904,D,68
Cleburne ISD,126903,C,75
Hamilton ISD,97902,B,81
Evant ISD,50901,D,69
Clifton ISD,18901,B,82
Meridian ISD,18902,F,58
Cranfills Gap ISD,18908,A,91
Aquilla ISD,109912,A,92
Whitney ISD,109911,C,75
Valley Mills ISD,18904,C,79
Jonesboro ISD,50909,D,66
Gatesville ISD,50902,C,78
Midway ISD (McLennan),161903,A,90
Robinson ISD,161922,B,89
China Spring ISD,161920,B,87
Waco ISD,161914,D,63
Crawford ISD,161901,A,90
Lorena ISD,161907,A,91
McGregor ISD,161909,C,77
Moody ISD,161910,B,84
Royse City ISD,199902,C,77
Quinlan ISD,116908,C,72
Terrell ISD,129906,C,71
Rockwall ISD,199901,B,89
Caddo Mills ISD,116901,B,85
Community ISD,43918,C,76
Farmersville ISD,43904,B,84
Midlothian ISD,70908,B,85
Cedar Hill ISD,57904,C,74
Venus ISD,126908,D,69
Alvarado ISD,126901,C,76
Decatur ISD,249905,C,76
Ponder ISD,61906,C,78
Argyle ISD,61910,A,92
Granbury ISD,111901,B,83
Coppell ISD,57922,A,93
Irving ISD,57912,C,76
Diboll ISD,3905,C,79
Zavalla ISD,3906,C,71
Carroll ISD,220919,A,95
Keller ISD,220907,B,85
Grapevine-Colleyville ISD,220906,B,86
Northwest ISD,61911,B,81
Boyd ISD,249902,C,75
Weatherford ISD,184903,C,77
Springtown ISD,184902,C,76
Mansfield ISD,220908,B,87
Grand Prairie ISD,57910,C,76
