NAME,DISTRICT_N,Debt,Per-Pupil Debt
Pewitt CISD,172905,"$29,489,725.00","$37,235.00"
Ferris ISD,70905,"$29,234,613.00","$9,661.00"
Skidmore-Tynan ISD,13905,"$29,014,312.00","$35,513.00"
Riesel ISD,161912,"$28,745,019.00","$51,793.00"
Brooks County ISD,24901,"$28,726,996.00","$32,314.00"
West ISD,161916,"$28,666,776.00","$25,641.00"
Silsbee ISD,100904,"$28,647,619.00","$13,648.00"
Freer ISD,66903,"$28,633,351.00","$47,094.00"
Hawkins ISD,250902,"$28,482,081.00","$37,280.00"
Broaddus ISD,203902,"$28,414,065.00","$89,352.00"
Mathis ISD,205904,"$27,944,271.00","$23,133.00"
Lindsay ISD,49907,"$27,905,196.00","$63,565.00"
Howe ISD,91905,"$27,858,100.00","$23,892.00"
Webb CISD,240904,"$27,811,381.00","$104,554.00"
Water Valley ISD,226905,"$27,659,553.00","$113,825.00"
Alpine ISD,22901,"$27,513,350.00","$38,534.00"
Lytle ISD,7904,"$27,382,580.00","$16,426.00"
Calhoun County ISD,29901,"$27,370,500.00","$8,604.00"
Danbury ISD,20904,"$26,902,983.00","$60,186.00"
GOLDTHWAITE ISD,167901,"$26,896,600.00","$56,864.00"
Bovina ISD,185901,"$26,854,385.00","$64,866.00"
East Chambers ISD,36903,"$26,806,811.00","$18,772.00"
Whitewright ISD,91910,"$26,762,525.00","$40,244.00"
Anderson-Shiro CISD,93901,"$26,556,749.00","$27,808.00"
Flatonia ISD,75901,"$26,382,830.00","$40,652.00"
Newcastle ISD,252902,"$26,291,415.00","$131,457.00"
Corrigan-Camden ISD,187904,"$26,147,225.00","$33,608.00"
Fabens ISD,71903,"$25,856,531.00","$16,543.00"
Veribest ISD,226908,"$25,600,305.00","$132,644.00"
Diboll ISD,3905,"$25,283,306.00","$18,953.00"
Lipan ISD,111902,"$25,279,885.00","$69,834.00"
El Campo ISD,241903,"$24,972,619.00","$8,509.00"
Lampasas ISD,141901,"$24,825,703.00","$7,282.00"
Clarksville ISD,194904,"$24,620,300.00","$53,291.00"
Wellman-Union CISD,223904,"$24,510,059.00","$111,409.00"
Santo ISD,182904,"$24,415,656.00","$50,135.00"
Edcouch-Elsa ISD,108903,"$24,313,981.00","$6,302.00"
Hooks ISD,19902,"$24,265,981.00","$33,424.00"
Kenedy ISD,128902,"$24,140,652.00","$32,317.00"
Robinson ISD,161922,"$23,974,567.00","$10,741.00"
Clifton ISD,18901,"$23,831,381.00","$25,819.00"
Columbus ISD,45902,"$23,701,112.00","$15,451.00"
Benjamin ISD,138904,"$23,445,150.00","$360,695.00"
Kirbyville CISD,121905,"$23,437,943.00","$19,913.00"
Chilton ISD,73901,"$23,236,392.00","$46,288.00"
Gainesville ISD,49901,"$23,193,488.00","$8,248.00"
Warren ISD,229904,"$23,158,990.00","$24,690.00"
Bowie ISD,169901,"$22,795,167.00","$18,639.00"
Beckville ISD,183901,"$22,011,250.00","$32,755.00"
Hardin ISD,146904,"$21,826,255.00","$24,278.00"
Canadian ISD,106901,"$21,666,846.00","$32,829.00"
Sabine ISD,92906,"$21,628,906.00","$15,146.00"
Trinity ISD,228903,"$21,618,669.00","$18,914.00"
La Feria ISD,31905,"$21,527,447.00","$8,790.00"
Madisonville CISD,154901,"$21,517,875.00","$10,013.00"
Premont ISD,125905,"$21,447,922.00","$29,789.00"
Shepherd ISD,204904,"$21,331,924.00","$12,402.00"
Gatesville ISD,50902,"$21,034,177.00","$8,721.00"
Coahoma ISD,114902,"$20,663,125.00","$21,479.00"
Kerens ISD,175907,"$20,640,740.00","$28,470.00"
Clyde CISD,30902,"$20,622,813.00","$16,932.00"
Petersburg ISD,95904,"$20,597,743.00","$89,946.00"
Wall ISD,226906,"$20,406,850.00","$15,710.00"
Eden CISD,48901,"$20,402,450.00","$92,319.00"
Palmer ISD,70910,"$20,278,525.00","$15,551.00"
San Perlita ISD,245904,"$19,993,352.00","$118,304.00"
Rosebud-Lott ISD,73905,"$19,885,690.00","$32,282.00"
White Oak ISD,92908,"$19,856,480.00","$16,196.00"
Boyd ISD,249902,"$19,632,975.00","$15,459.00"
Santa Rosa ISD,31914,"$19,577,450.00","$25,491.00"
Valley Mills ISD,18904,"$19,485,266.00","$29,794.00"
Abbott ISD,109901,"$19,485,245.00","$82,916.00"
Arp ISD,212901,"$19,455,267.00","$20,741.00"
Big Sandy ISD (Polk),187901,"$19,417,043.00","$42,488.00"
Buna ISD,121903,"$19,294,679.00","$15,387.00"
Falls City ISD,128904,"$19,027,100.00","$43,145.00"
Coldspring-Oakhurst CISD,204901,"$18,838,500.00","$12,992.00"
Zapata County ISD,253901,"$18,782,369.00","$6,166.00"
Snook ISD,26903,"$18,713,027.00","$32,153.00"
Abernathy ISD,95901,"$18,477,147.00","$24,768.00"
Hereford ISD,59901,"$18,461,113.00","$5,362.00"
Friona ISD,185903,"$18,407,326.00","$22,923.00"
Mount Enterprise ISD,201907,"$18,289,244.00","$40,196.00"
Early ISD,25909,"$18,269,025.00","$20,412.00"
Como-Pickton CISD,112908,"$18,256,037.00","$25,285.00"
Aransas Pass ISD,205901,"$18,107,528.00","$12,260.00"
SUNRAY COLLEGIATE ISD,171902,"$18,097,424.00","$37,314.00"
Grandview ISD,126904,"$17,916,875.00","$13,431.00"
Covington ISD,109903,"$17,862,302.00","$54,625.00"
Millsap ISD,184904,"$17,697,050.00","$18,988.00"
Archer City ISD,5901,"$17,613,600.00","$33,938.00"
Miami ISD,197902,"$17,602,856.00","$115,051.00"
Crawford ISD,161901,"$17,576,350.00","$30,356.00"
Garrison ISD,174903,"$17,552,464.00","$24,311.00"
Bland ISD,116915,"$17,490,418.00","$23,992.00"
Santa Maria ISD,31913,"$17,452,131.00","$42,463.00"
Weimar ISD,45905,"$17,262,638.00","$26,275.00"
Tornillo ISD,71908,"$17,232,362.00","$32,699.00"
Harrold ISD,244901,"$17,034,919.00","$86,913.00"
Italy ISD,70907,"$16,976,994.00","$32,838.00"
Aquilla ISD,109912,"$16,889,945.00","$58,241.00"
Kemp ISD,129904,"$16,565,424.00","$7,543.00"
Raymondville ISD,245903,"$16,488,893.00","$10,993.00"
Jim Hogg County ISD,124901,"$16,338,328.00","$24,098.00"
Moulton ISD,143902,"$16,184,550.00","$71,298.00"
Vega ISD,180902,"$16,070,740.00","$58,227.00"
Waskom ISD,102903,"$16,062,575.00","$24,191.00"
Callisburg ISD,49905,"$15,978,368.00","$14,836.00"
Harmony ISD,230905,"$15,966,023.00","$19,471.00"
Rotan ISD,76904,"$15,825,900.00","$48,103.00"
Rogers ISD,14907,"$15,823,386.00","$19,730.00"
Gordon ISD,182901,"$15,769,459.00","$78,067.00"
Rocksprings ISD,69901,"$15,675,750.00","$113,592.00"
Tulia ISD,219903,"$15,505,600.00","$21,566.00"
Poth ISD,247904,"$15,405,510.00","$16,892.00"
Pittsburg ISD,32902,"$15,388,088.00","$7,961.00"
Industrial ISD,120905,"$15,232,750.00","$14,689.00"
Brady ISD,160901,"$15,020,250.00","$16,839.00"
Austwell-Tivoli ISD,196901,"$14,961,175.00","$122,633.00"
City View ISD,243906,"$14,906,350.00","$13,157.00"
Mount Calm ISD,109910,"$14,369,367.00","$114,955.00"
Tahoka ISD,153904,"$14,258,398.00","$28,574.00"
Elkhart ISD,1903,"$14,257,564.00","$13,605.00"
Forsan ISD,114904,"$14,225,700.00","$21,620.00"
Graham ISD,252901,"$14,088,973.00","$8,102.00"
Muenster ISD,49902,"$14,040,631.00","$29,622.00"
Union Grove ISD,230908,"$13,989,025.00","$22,100.00"
Frankston ISD,1904,"$13,942,725.00","$18,322.00"
Douglass ISD,174911,"$13,838,721.00","$38,764.00"
Brazos ISD,8903,"$13,791,582.00","$16,187.00"
Mexia ISD,147903,"$13,758,475.00","$8,648.00"
Somerville ISD,26902,"$13,699,283.00","$30,647.00"
Natalia ISD,163903,"$13,655,299.00","$10,353.00"
Valley View ISD (Cooke),49903,"$13,514,691.00","$17,086.00"
Grape Creek ISD,226907,"$13,415,269.00","$11,737.00"
Pearsall ISD,82903,"$13,360,500.00","$7,929.00"
Electra ISD,243902,"$13,293,753.00","$35,169.00"
Stockdale ISD,247906,"$13,208,269.00","$17,334.00"
Central Heights ISD,174908,"$13,163,450.00","$14,185.00"
Robert Lee ISD,41902,"$13,161,747.00","$63,892.00"
Groom ISD,33901,"$12,945,900.00","$165,973.00"
Tom Bean ISD,91918,"$12,715,255.00","$20,542.00"
Maud ISD,19903,"$12,604,486.00","$35,110.00"
Wildorado ISD,180904,"$12,567,709.00","$77,578.00"
Edna ISD,120901,"$12,565,669.00","$9,879.00"
O'Donnell ISD,153903,"$12,493,591.00","$62,157.00"
Slaton ISD,152903,"$12,390,544.00","$11,004.00"
Bryson ISD,119901,"$12,299,350.00","$54,908.00"
Huntington ISD,3904,"$12,256,975.00","$9,026.00"
Idalou ISD,152910,"$12,106,900.00","$13,758.00"
Monte Alto ISD,108915,"$12,033,863.00","$20,571.00"
Calvert ISD,198902,"$11,978,900.00","$62,717.00"
Keene ISD,126906,"$11,732,474.00","$11,491.00"
Tolar ISD,111903,"$11,642,362.00","$13,230.00"
Quitman ISD,250904,"$11,640,575.00","$10,778.00"
Ropes ISD,110905,"$11,573,022.00","$20,520.00"
Alto ISD,37901,"$11,571,678.00","$30,776.00"
Bandera ISD,10902,"$11,554,225.00","$5,806.00"
Grandfalls-Royalty ISD,238904,"$11,358,075.00","$75,219.00"
Tatum ISD,201910,"$11,293,675.00","$10,267.00"
Onalaska ISD,187910,"$11,240,025.00","$10,190.00"
IRAAN-SHEFFIELD COLLEGIATE ISD,186903,"$10,973,981.00","$37,074.00"
Itasca ISD,109907,"$10,947,613.00","$16,842.00"
Eastland ISD,67903,"$10,931,856.00","$11,224.00"
Coolidge ISD,147901,"$10,863,446.00","$39,218.00"
Huckabay ISD,72908,"$10,858,908.00","$34,473.00"
Grapeland ISD,113902,"$10,818,679.00","$21,856.00"
Orange Grove ISD,125903,"$10,779,009.00","$7,839.00"
Chillicothe ISD,99902,"$10,753,250.00","$59,740.00"
Leon ISD,145911,"$10,710,288.00","$15,938.00"
Joaquin ISD,210902,"$10,610,425.00","$15,884.00"
Atlanta ISD,34901,"$10,589,023.00","$5,902.00"
High Island ISD,84903,"$10,577,054.00","$70,047.00"
Sierra Blanca ISD,115902,"$10,554,800.00","$167,537.00"
Roby CISD,76903,"$10,472,000.00","$43,273.00"
West Sabine ISD,202905,"$10,287,664.00","$21,300.00"
La Villa ISD,108914,"$10,242,000.00","$26,812.00"
Central ISD,3907,"$10,162,425.00","$6,876.00"
Woden ISD,174906,"$10,103,050.00","$12,597.00"
Deweyville ISD,176903,"$10,016,650.00","$24,611.00"
Lexington ISD,144902,"$10,014,848.00","$11,741.00"
Shiner ISD,143903,"$9,961,497.00","$15,737.00"
Vidor ISD,181907,"$9,874,875.00","$2,529.00"
Waelder ISD,89905,"$9,858,262.00","$37,342.00"
Carlisle ISD,201913,"$9,834,896.00","$19,134.00"
Kountze ISD,100903,"$9,821,899.00","$10,178.00"
Ira ISD,208903,"$9,802,950.00","$51,057.00"
White Deer ISD,33904,"$9,780,272.00","$43,858.00"
Merkel ISD,221904,"$9,754,834.00","$9,784.00"
Chester ISD,229906,"$9,709,125.00","$84,427.00"
Plemons-Stinnett-Phillips CISD,117904,"$9,573,750.00","$19,904.00"
Rains ISD,190903,"$9,552,975.00","$7,113.00"
Richards ISD,93905,"$9,441,292.00","$42,338.00"
Lingleville ISD,72909,"$9,417,551.00","$45,277.00"
Lovelady ISD,113903,"$9,368,000.00","$20,911.00"
Hearne ISD,198905,"$9,351,873.00","$14,522.00"
Ore City ISD,230903,"$9,336,898.00","$13,169.00"
New Summerfield ISD,37908,"$9,323,387.00","$21,835.00"
Scurry-Rosser ISD,129910,"$9,300,113.00","$9,790.00"
McDade ISD,11905,"$9,287,963.00","$27,643.00"
Snyder ISD,208902,"$9,278,425.00","$5,002.00"
New Diana ISD,230906,"$9,156,365.00","$8,541.00"
Hudson ISD,3902,"$9,148,281.00","$3,780.00"
Burkeville ISD,176901,"$9,079,476.00","$32,897.00"
Iola ISD,93903,"$9,034,400.00","$14,572.00"
Bloomington ISD,235901,"$9,013,664.00","$12,749.00"
Sabinal ISD,232902,"$9,006,713.00","$17,287.00"
Timpson ISD,210905,"$9,004,400.00","$11,974.00"
Miles ISD,200902,"$8,973,488.00","$20,917.00"
Bridgeport ISD,249903,"$8,932,453.00","$4,270.00"
Holland ISD,14905,"$8,912,700.00","$14,469.00"
Farwell ISD,185902,"$8,876,191.00","$15,993.00"
Cushing ISD,174902,"$8,810,225.00","$18,947.00"
Crosbyton ISD,54901,"$8,761,981.00","$26,312.00"
Fayetteville ISD,75906,"$8,649,023.00","$34,322.00"
CULBERSON COUNTY-ALLAMOORE ISD,55901,"$8,636,250.00","$18,297.00"
Stamford ISD,127906,"$8,636,060.00","$18,105.00"
Munday CISD,138903,"$8,629,700.00","$25,014.00"
Cooper ISD,60902,"$8,614,055.00","$10,959.00"
Plains ISD,251902,"$8,599,600.00","$23,242.00"
Panhandle ISD,33902,"$8,590,400.00","$20,901.00"
Driscoll ISD,178905,"$8,567,567.00","$19,741.00"
Spearman ISD,98904,"$8,564,855.00","$15,432.00"
North Zulch ISD,154903,"$8,515,933.00","$25,195.00"
Sanford-Fritch ISD,117903,"$8,431,181.00","$11,287.00"
Charlotte ISD,7901,"$8,317,100.00","$18,524.00"
Honey Grove ISD,74907,"$8,298,525.00","$14,432.00"
Hubbard ISD (Hill),109905,"$8,091,798.00","$23,119.00"
Saint Jo ISD,169911,"$7,978,291.00","$31,165.00"
Overton ISD,201908,"$7,961,320.00","$17,307.00"
Paint Creek ISD,104907,"$7,706,460.00","$79,448.00"
Big Sandy ISD (Upshur),230901,"$7,672,034.00","$12,787.00"
Connally ISD,161921,"$7,590,350.00","$3,632.00"
Buffalo ISD,145901,"$7,587,925.00","$9,164.00"
Wilson ISD,153907,"$7,366,185.00","$51,512.00"
Roosevelt ISD,152908,"$7,364,900.00","$8,266.00"
McMullen County ISD,162904,"$7,307,732.00","$30,834.00"
Wolfe City ISD,116909,"$7,301,948.00","$11,535.00"
Milano ISD,166903,"$7,288,973.00","$19,753.00"
Sudan ISD,140908,"$7,260,225.00","$18,474.00"
Gary ISD,183904,"$7,191,767.00","$19,490.00"
Kelton ISD,242905,"$7,189,000.00","$79,000.00"
Fairfield ISD,81902,"$7,173,949.00","$5,248.00"
River Road ISD,188902,"$7,167,725.00","$8,827.00"
Hale Center ISD,95903,"$7,159,838.00","$15,332.00"
Frost ISD,175905,"$7,143,500.00","$16,347.00"
Bluff Dale ISD,72904,"$7,095,610.00","$47,622.00"
Borden County ISD,17901,"$7,067,313.00","$26,974.00"
Terrell County ISD,222901,"$7,057,957.00","$83,035.00"
Blackwell CISD,177903,"$6,944,075.00","$28,459.00"
Runge ISD,128903,"$6,930,591.00","$68,620.00"
Tarkington ISD,146907,"$6,727,485.00","$3,717.00"
Alvord ISD,249901,"$6,725,369.00","$7,848.00"
Glasscock County ISD,87901,"$6,717,750.00","$28,708.00"
Graford ISD,182902,"$6,712,600.00","$20,465.00"
Meridian ISD,18902,"$6,638,341.00","$24,586.00"
Nordheim ISD,62902,"$6,632,000.00","$70,553.00"
Oakwood ISD,145907,"$6,530,146.00","$32,981.00"
Wortham ISD,81905,"$6,459,100.00","$14,580.00"
Celeste ISD,116902,"$6,445,550.00","$14,012.00"
Bremond ISD,198901,"$6,216,988.00","$13,034.00"
Lometa ISD,141902,"$6,211,280.00","$14,181.00"
Blum ISD,109913,"$6,206,600.00","$23,872.00"
Iredell ISD,18906,"$6,190,600.00","$54,784.00"
Booker ISD,148901,"$6,186,317.00","$23,794.00"
Rivercrest ISD,194903,"$6,051,273.00","$9,367.00"
Daingerfield-Lone Star ISD,172902,"$6,002,228.00","$6,385.00"
Sundown ISD,110907,"$5,971,650.00","$13,359.00"
Aspermont ISD,217901,"$5,935,639.00","$38,294.00"
Latexo ISD,113905,"$5,898,325.00","$12,963.00"
Highland ISD,177905,"$5,848,500.00","$32,492.00"
Seagraves ISD,83901,"$5,811,675.00","$12,498.00"
Bangs ISD,25901,"$5,804,956.00","$8,972.00"
Klondike ISD,58905,"$5,785,900.00","$26,420.00"
Medina ISD,10901,"$5,785,800.00","$25,047.00"
Loraine ISD,168902,"$5,743,550.00","$54,700.00"
Silverton ISD,23902,"$5,693,575.00","$28,047.00"
Agua Dulce ISD,178901,"$5,504,000.00","$14,756.00"
Zavalla ISD,3906,"$5,454,029.00","$19,204.00"
Bruceville-Eddy ISD,161919,"$5,445,300.00","$9,470.00"
Troup ISD,212904,"$5,433,763.00","$5,862.00"
Bellevue ISD,39904,"$5,328,118.00","$26,774.00"
Redwater ISD,19906,"$5,299,150.00","$4,929.00"
Uvalde CISD,232903,"$5,236,736.00","$2,227.00"
Lazbuddie ISD,185904,"$5,219,555.00","$46,603.00"
Dublin ISD,72902,"$5,108,706.00","$4,722.00"
Hunt ISD,133902,"$5,095,500.00","$32,663.00"
Lasara ISD,245901,"$5,027,175.00","$18,083.00"
Breckenridge ISD,215901,"$4,953,250.00","$4,030.00"
Rusk ISD,37907,"$4,940,538.00","$2,673.00"
Stanton ISD,156902,"$4,765,250.00","$5,734.00"
Stratford ISD,211902,"$4,753,792.00","$12,610.00"
Leakey ISD,193902,"$4,648,350.00","$13,712.00"
Detroit ISD,194905,"$4,620,650.00","$11,270.00"
North Hopkins ISD,112906,"$4,588,863.00","$11,031.00"
Wheeler ISD,242903,"$4,529,900.00","$13,017.00"
Jefferson ISD,155901,"$4,483,575.00","$4,976.00"
Ezzell ISD,143906,"$4,451,088.00","$24,457.00"
Hawley ISD,127904,"$4,378,775.00","$5,687.00"
Dodd City ISD,74904,"$4,359,650.00","$16,267.00"
Sam Rayburn ISD,74917,"$4,334,291.00","$12,823.00"
Hartley ISD,103902,"$4,212,950.00","$16,988.00"
Matagorda ISD,158904,"$4,190,431.00","$28,506.00"
D'Hanis ISD,163902,"$4,154,346.00","$17,455.00"
Sterling City ISD,216901,"$4,120,275.00","$11,509.00"
Groesbeck ISD,147902,"$4,117,687.00","$3,119.00"
Whiteface CISD,40902,"$4,113,662.00","$14,333.00"
Tenaha ISD,210904,"$4,065,945.00","$10,872.00"
Marfa ISD,189901,"$4,035,925.00","$25,871.00"
Lockney ISD,77902,"$4,017,400.00","$12,633.00"
Miller Grove ISD,112907,"$3,923,343.00","$12,948.00"
Zephyr ISD,25906,"$3,881,646.00","$23,814.00"
Cross Roads ISD,107904,"$3,846,400.00","$6,956.00"
Dime Box ISD,144903,"$3,816,800.00","$36,008.00"
Gorman ISD,67904,"$3,802,000.00","$18,546.00"
Benavides ISD,66901,"$3,725,015.00","$21,286.00"
Anson ISD,127901,"$3,714,200.00","$6,539.00"
Henrietta ISD,39902,"$3,696,850.00","$4,820.00"
Slocum ISD,1909,"$3,661,178.00","$14,528.00"
Era ISD,49906,"$3,550,950.00","$9,419.00"
Martinsville ISD,174909,"$3,534,831.00","$13,390.00"
Red Lick ISD,19911,"$3,511,119.00","$7,683.00"
Axtell ISD,161918,"$3,430,761.00","$4,251.00"
Olney ISD,252903,"$3,365,200.00","$5,656.00"
Richland Springs ISD,206902,"$3,342,980.00","$27,179.00"
Knippa ISD,232901,"$3,136,600.00","$9,534.00"
Anthony ISD,71906,"$3,036,731.00","$4,970.00"
Goodrich ISD,187903,"$2,934,769.00","$9,848.00"
Hico ISD,97903,"$2,932,346.00","$4,707.00"
Elysian Fields ISD,102906,"$2,811,800.00","$4,306.00"
Midway ISD (Clay),39905,"$2,762,600.00","$17,159.00"
Neches ISD,1906,"$2,750,200.00","$8,900.00"
Randolph Field ISD,15906,"$2,698,764.00","$1,823.00"
Hermleigh ISD,208901,"$2,688,261.00","$10,379.00"
Leggett ISD,187906,"$2,687,138.00","$18,924.00"
Crowell ISD,78901,"$2,677,500.00","$20,756.00"
Wells ISD,37909,"$2,660,500.00","$16,124.00"
Mason ISD,157901,"$2,570,775.00","$4,017.00"
Trent ISD,221905,"$2,565,723.00","$17,336.00"
Boles ISD,116916,"$2,536,208.00","$5,155.00"
Hallsburg ISD,161924,"$2,522,124.00","$21,374.00"
Priddy ISD,167904,"$2,520,100.00","$24,707.00"
Winters ISD,200904,"$2,484,043.00","$6,073.00"
Turkey-Quitaque ISD,96905,"$2,475,269.00","$13,526.00"
Adrian ISD,180903,"$2,417,450.00","$24,668.00"
La Pryor ISD,254902,"$2,414,738.00","$7,407.00"
Roscoe Collegiate ISD,177901,"$2,402,743.00",$169.00
Perrin-Whitt CISD,119903,"$2,292,983.00","$7,469.00"
Cross Plains ISD,30901,"$2,287,520.00","$7,702.00"
San Saba ISD,206901,"$2,279,030.00","$3,003.00"
Martins Mill ISD,234905,"$2,190,400.00","$5,689.00"
Ben Bolt-Palito Blanco ISD,125902,"$2,145,450.00","$7,449.00"
Palo Pinto ISD,182906,"$2,143,400.00","$19,664.00"
Petrolia CISD,39903,"$2,094,405.00","$4,940.00"
Teague ISD,81904,"$2,060,400.00","$1,745.00"
Fruitvale ISD,234909,"$2,042,475.00","$5,920.00"
Kress ISD,219905,"$2,030,700.00","$10,918.00"
Grand Saline ISD,234904,"$2,019,624.00","$2,071.00"
Center Point ISD,133901,"$1,990,888.00","$4,609.00"
Shamrock ISD,242902,"$1,931,136.00","$7,100.00"
West Hardin County CISD,100908,"$1,922,170.00","$4,782.00"
Copperas Cove ISD,50910,"$1,859,150.00",$270.00
Fort Elliott CISD,242906,"$1,849,250.00","$11,558.00"
Nursery ISD,235904,"$1,805,600.00","$16,565.00"
Texline ISD,56902,"$1,713,100.00","$7,752.00"
KENEDY COUNTY WIDE CSD,131001,"$1,671,500.00","$11,939.00"
Paint Rock ISD,48903,"$1,604,744.00","$5,440.00"
Hart ISD,35902,"$1,603,053.00","$8,665.00"
Gustine ISD,47903,"$1,559,161.00","$15,437.00"
Chapel Hill ISD (Titus),225906,"$1,449,844.00","$2,132.00"
Whitharral ISD,110908,"$1,442,400.00","$9,072.00"
Alba-Golden ISD,250906,"$1,412,744.00","$1,959.00"
Campbell ISD,116910,"$1,351,084.00","$7,000.00"
Presidio ISD,189902,"$1,291,975.00","$1,344.00"
Spurger ISD,229905,"$1,272,100.00","$3,374.00"
Seymour ISD,12901,"$1,248,900.00","$2,139.00"
Lefors ISD,90902,"$1,248,440.00","$7,258.00"
Pawnee ISD,13902,"$1,228,078.00","$3,310.00"
Windthorst ISD,5904,"$1,202,660.00","$2,870.00"
Oglesby ISD,50904,"$1,149,110.00","$5,085.00"
Spur ISD,63903,"$1,127,875.00","$8,233.00"
Sidney ISD,47905,"$1,056,138.00","$5,501.00"
Brackett ISD,136901,"$1,031,912.00","$2,132.00"
Hughes Springs ISD,34903,"$1,022,720.00","$1,191.00"
Bynum ISD,109902,"$1,006,270.00","$6,136.00"
CUMBY COLLEGIATE ISD,112905,"$1,003,483.00","$2,669.00"
Damon ISD,20910,"$992,513.00","$11,816.00"
Queen City ISD,34907,"$981,605.00","$1,404.00"
Poolville ISD,184901,"$978,540.00","$1,315.00"
Walcott ISD,59902,"$977,605.00","$8,285.00"
Darrouzett ISD,148905,"$965,000.00","$12,697.00"
Round Top-Carmine ISD,75908,"$962,263.00","$4,811.00"
Ector ISD,74905,"$958,888.00","$3,805.00"
Northside ISD (Wilbarger),244905,"$940,749.00","$4,680.00"
De Leon ISD,47902,"$871,593.00","$2,065.00"
Louise ISD,241906,"$860,475.00","$1,965.00"
Simms ISD,19909,"$858,525.00","$1,687.00"
Harts Bluff ISD,225907,"$855,682.00","$1,015.00"
Claude ISD,6902,"$819,600.00","$3,488.00"
May ISD,25905,"$740,723.00","$3,011.00"
Colmesneil ISD,229901,"$728,882.00","$2,836.00"
Santa Anna ISD,42903,"$720,975.00","$3,835.00"
Fannindel ISD,60914,"$717,200.00","$6,641.00"
Malone ISD,109908,"$695,260.00","$13,905.00"
Lohn ISD,160905,"$684,968.00","$10,703.00"
Karnack ISD,102901,"$679,478.00","$6,410.00"
Lueders-Avoca ISD,127905,"$675,852.00","$5,981.00"
Whitesboro ISD,91909,"$666,030.00",$379.00
Follett ISD,148902,"$657,800.00","$5,021.00"
Albany ISD,209901,"$651,879.00","$1,563.00"
Meadow ISD,223902,"$636,000.00","$3,741.00"
Pringle-Morse CISD,98903,"$634,650.00","$5,519.00"
Avalon ISD,70901,"$601,200.00","$1,652.00"
Ricardo ISD,137902,"$548,205.00",$867.00
Guthrie CSD,135001,"$544,253.00","$9,225.00"
Malta ISD,19910,"$533,500.00","$3,705.00"
Chireno ISD,174901,"$520,917.00","$2,412.00"
Blanket ISD,25904,"$515,687.00","$4,125.00"
Olfen ISD,200906,"$506,600.00","$3,989.00"
Panther Creek CISD,42905,"$498,300.00","$3,215.00"
McLean ISD,90903,"$477,100.00","$3,078.00"
Jonesboro ISD,50909,"$453,588.00","$1,874.00"
Trinidad ISD,107907,"$396,775.00","$1,908.00"
Hull-Daisetta ISD,146905,"$378,047.00","$1,093.00"
Clarendon ISD,65901,"$350,993.00","$1,020.00"
Leveretts Chapel ISD,201904,"$344,920.00","$2,197.00"
DeKalb ISD,19901,"$332,240.00",$313.00
Blooming Grove ISD,175902,"$328,800.00",$363.00
Thorndale ISD,166905,"$326,540.00",$642.00
Mullin ISD,167902,"$320,000.00","$1,280.00"
Garner ISD,184911,"$314,225.00",$623.00
Harleton ISD,102905,"$303,420.00",$420.00
Linden-Kildare CISD,34905,"$257,286.00",$459.00
Westphalia ISD,73904,"$186,910.00","$1,230.00"
Avery ISD,194902,"$183,516.00",$749.00
Sulphur Bluff ISD,112910,"$167,260.00",$800.00
Shelbyville ISD,210903,"$158,100.00",$194.00
Wellington ISD,44902,"$157,713.00",$317.00
Laneville ISD,201903,"$126,760.00","$1,219.00"
Nazareth ISD,35903,"$115,250.00",$539.00
Buckholts ISD,166907,"$91,818.00","$1,032.00"
Brookesmith ISD,25908,"$91,710.00",$483.00
Bloomburg ISD,34909,"$91,136.00",$501.00
Memphis ISD,96904,$0.00,$0.00
Patton Springs ISD,63906,$0.00,$0.00
Santa Gertrudis ISD,137904,$0.00,$0.00
Riviera ISD,137903,$0.00,$0.00
Apple Springs ISD,228905,$0.00,$0.00
Kennard ISD,113906,$0.00,$0.00
Avinger ISD,34902,$0.00,$0.00
Springlake-Earth ISD,140907,$0.00,$0.00
Dawson ISD (Dawson),58902,$0.00,$0.00
HAMLIN COLLEGIATE ISD,127903,$0.00,$0.00
Gold Burg ISD,169906,$0.00,$0.00
Ballinger ISD,200901,$0.00,$0.00
Bronte ISD,41901,$0.00,$0.00
Prairie Valley ISD,169909,$0.00,$0.00
Montague ISD,169908,$0.00,$0.00
Cranfills Gap ISD,18908,$0.00,$0.00
Evant ISD,50901,$0.00,$0.00
Hamilton ISD,97902,$0.00,$0.00
Spring Creek ISD,117907,$0.00,$0.00
Ranger ISD,67907,$0.00,$0.00
Cisco ISD,67902,$0.00,$0.00
Rising Star ISD,67908,$0.00,$0.00
Sweet Home ISD,143905,$0.00,$0.00
Rule ISD,104903,$0.00,$0.00
Knox City-O'Brien CISD,138902,$0.00,$0.00
Menard ISD,164901,$0.00,$0.00
Loop ISD,83902,$0.00,$0.00
Crockett ISD,113901,$0.00,$0.00
Grady ISD,156905,$0.00,$0.00
Channing ISD,103901,$0.00,$0.00
Three Way ISD,72901,$0.00,$0.00
Morgan Mill ISD,72910,$0.00,$0.00
Yantis ISD,250905,$0.00,$0.00
Rochelle ISD,160904,$0.00,$0.00
Hedley ISD,65902,$0.00,$0.00
Jayton-Girard ISD,132902,$0.00,$0.00
Sonora ISD,218901,$0.00,$0.00
Fort Hancock ISD,115901,$0.00,$0.00
