State,Region,County,District,District Name,Charter Status,Superintendent,Base Pay,FTE Salary,Enrollment,FTE
TX,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,"MENCHACA, SERGIO","$105,472.00","$105,472.00",422,1
TX,15,RUNNELS COUNTY,200904,WINTERS ISD,TRADITIONAL ISD/CSD,"HORNER, KATHERINE D","$52,627.00","$105,254.00",552,0.5
TX,2,SAN PATRICIO COUNTY,205904,MATHIS ISD,TRADITIONAL ISD/CSD,"GUTIERREZ, VERONICA","$105,252.00","$105,252.00",1429,1
TX,6,MILAM COUNTY,166902,GAUSE ISD,TRADITIONAL ISD/CSD,"RUSSELL, TERESA GAYLE","$32,246.00","$105,002.00",134,0.31
TX,13,BASTROP COUNTY,11905,MCDADE ISD,TRADITIONAL ISD/CSD,"HUCHTON-STIDHAM, HEATHER R","$91,245.00","$105,000.00",377,0.87
TX,12,BOSQUE COUNTY,18903,MORGAN ISD,TRADITIONAL ISD/CSD,"BULLION, JOHN C","$105,000.00","$105,000.00",137,1
TX,12,MILLS COUNTY,167902,MULLIN ISD,TRADITIONAL ISD/CSD,"SPARKS, KAYLA","$52,500.00","$105,000.00",132,0.5
TX,17,LYNN COUNTY,153903,O'DONNELL ISD,TRADITIONAL ISD/CSD,"NICHOLS, JORDAN BLAKE","$105,000.00","$105,000.00",253,1
TX,9,KNOX COUNTY,138902,KNOX CITY-O'BRIEN CISD,TRADITIONAL ISD/CSD,"HOWETH, COLIN LYNN","$104,900.00","$104,900.00",195,1
TX,17,MOTLEY COUNTY,173901,MOTLEY COUNTY ISD,TRADITIONAL ISD/CSD,"KOEPKE, KURTIS LEE","$104,832.00","$104,832.00",179,1
TX,7,HARRISON COUNTY,102901,KARNACK ISD,TRADITIONAL ISD/CSD,"FITZPATRICK, ANGELA RENAE","$104,584.00","$104,584.00",119,1
TX,5,JASPER COUNTY,121902,BROOKELAND ISD,TRADITIONAL ISD/CSD,"ODOM, CHARLOTTE A","$104,500.00","$104,500.00",381,1
TX,16,HARTLEY COUNTY,103901,CHANNING ISD,TRADITIONAL ISD/CSD,"HEISKELL, MISTY DAWN","$81,656.00","$104,299.00",121,0.78
TX,16,WHEELER COUNTY,242905,KELTON ISD,TRADITIONAL ISD/CSD,"BERRY, LESLIE DAWN","$104,188.00","$104,188.00",129,1
TX,17,HALE COUNTY,95902,COTTON CENTER ISD,TRADITIONAL ISD/CSD,"BOBO, JAMES R","$104,000.00","$104,000.00",100,1
TX,10,FANNIN COUNTY,74905,ECTOR ISD,TRADITIONAL ISD/CSD,"MORRIS, JENNIFER","$104,000.00","$104,000.00",234,1
